                           Instance                            |                   SHOTcbc1910@1                   |                   SHOTcpx1910@1                   |                   SHOTgur2310@1                   |                     aecpNC@1                      |                   antigoneNC@0                    |                     baronNC@0                     |                    bbbNCcbc@1                     |                  couenneNCcbc@0                   |                    dicoptNC@0                     |                     gurobi@1                      |                     lglobal@0                     |                      sbbNC@1                      |                  scipNCsoplex@1                   |
name                      #Vars #Disc #Equs Dir  Primal bound I|TermStatus  Primal bound PrimGap Time[s]    Nodes I|TermStatus  Primal bound PrimGap Time[s]    Nodes I|TermStatus  Primal bound PrimGap Time[s]    Nodes I|TermStatus  Primal bound PrimGap Time[s]    Nodes I|TermStatus  Primal bound PrimGap Time[s]    Nodes I|TermStatus  Primal bound PrimGap Time[s]    Nodes I|TermStatus  Primal bound PrimGap Time[s]    Nodes I|TermStatus  Primal bound PrimGap Time[s]    Nodes I|TermStatus  Primal bound PrimGap Time[s]    Nodes I|TermStatus  Primal bound PrimGap Time[s]    Nodes I|TermStatus  Primal bound PrimGap Time[s]    Nodes I|TermStatus  Primal bound PrimGap Time[s]    Nodes I|TermStatus  Primal bound PrimGap Time[s]    Nodes I|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
4stufen                     150    48    99 min  1.163297e+05  |normal                --      --   18.97        0  |normal                --      --    0.42       12  |iterlim              inf      --    1.54     4495  |normal      1.312338e+05      --  124.10       --  |normal              -inf      --    1.00        1 !|timelim     1.178351e+05      --  900.00    66242  |normal      1.163910e+05      --    4.52       76  |timelim     1.229493e+05      --  901.72     5983  |normal      1.168232e+05      --    0.24       --  |--                    --      --      --       -- !|timelim     1.163701e+05      --  900.07    52108  |normal      1.163345e+05      --    0.94      303  |timelim              inf      --  900.00       70  |
autocorr_bern20-03           21    20     1 min -7.200000e+01  |normal     -7.200000e+01    0.00    0.06        0  |normal     -7.200000e+01    0.00    0.08        0  |normal     -7.200000e+01    0.00    0.08        0  |normal     -7.200000e+01    0.00    0.37       --  |normal     -7.200000e+01    0.00    0.00        0  |normal     -7.200000e+01    0.00    0.05        1  |normal     -6.400000e+01   12.50    0.04        0  |normal     -7.200000e+01   -0.00    0.02        0  |normal     -6.400000e+01   12.50    0.00       --  |normal     -7.200000e+01    0.00    0.05        0  |normal     -7.200000e+01    0.00    0.00        0  |normal     -6.400000e+01   12.50    0.14        0  |normal     -7.200000e+01    0.00    0.00        1  |
autocorr_bern20-05           21    20     1 min -4.160000e+02  |normal     -4.160000e+02    0.00    7.67     1278  |normal     -4.160000e+02    0.00    2.49     1558  |normal     -4.160000e+02    0.00    1.45        0  |normal     -4.080000e+02    1.96    0.31       --  |normal     -4.160000e+02    0.00    1.00        0  |normal     -4.160000e+02    0.00    1.38        1  |normal     -4.080000e+02    1.96    0.02        0  |normal     -4.160000e+02   -0.00   71.56    75952  |normal     -3.960000e+02    5.05    0.00       --  |--                    --     inf      --       -- !|normal     -4.160000e+02    0.00   18.21        0  |normal     -3.960000e+02    5.05    0.14        0  |normal     -4.160000e+02    0.00   35.62    31298  |
autocorr_bern20-10           21    20     1 min -2.936000e+03  |normal     -2.936000e+03    0.00  116.80     5424  |normal     -2.936000e+03    0.00   81.39     8711  |normal     -2.936000e+03    0.00   17.13     5485  |normal     -2.904000e+03    1.10    0.39       --  |normal     -2.936000e+03    0.00   15.00        0  |normal     -2.936000e+03    0.00  216.95      637  |normal     -2.888000e+03    1.66    0.04        0  |normal     -2.936000e+03    0.00  243.66    62870  |normal     -2.912000e+03    0.82    0.00       --  |--                    --     inf      --       -- !|normal     -2.936000e+03    0.00  444.31        0  |normal     -2.912000e+03    0.82    0.14        0  |normal     -2.936000e+03    0.00  453.03   172461  |
autocorr_bern20-15           21    20     1 min -5.960000e+03  |iterlim    -5.960000e+03    0.00  298.54     5005  |normal     -5.960000e+03    0.00  315.12   124401  |normal     -5.960000e+03    0.00  159.76     4481  |normal     -5.944000e+03    0.27    0.33       --  |normal     -5.960000e+03    0.00   91.00        0  |timelim    -5.960000e+03    0.00  900.00     3616  |normal     -5.872000e+03    1.50    0.07        0  |normal     -5.960000e+03    0.00  563.64    72401  |normal     -5.936000e+03    0.40    0.00       --  |--                    --     inf      --       -- !|timelim    -5.960000e+03    0.00  900.02        0  |normal     -5.936000e+03    0.40    0.14        0  |timelim    -5.960000e+03    0.00  900.00   136812  |
autocorr_bern25-03           26    25     1 min -9.200000e+01  |normal     -9.200000e+01    0.00    0.07        0  |normal     -9.200000e+01    0.00    0.07        0  |normal     -9.200000e+01    0.00    0.08        0  |normal     -8.800000e+01    4.55    0.35       --  |normal     -9.200000e+01    0.00    0.00        0  |normal     -9.200000e+01    0.00    0.05        1  |normal     -8.800000e+01    4.55    0.03        0  |normal     -9.200000e+01   -0.00    0.02        0  |normal     -8.000000e+01   15.00    0.00       --  |normal     -9.200000e+01    0.00    0.01        0  |normal     -9.200000e+01    0.00    0.00        0  |normal     -8.000000e+01   15.00    0.14        0  |normal     -9.200000e+01    0.00    0.01        1  |
autocorr_bern25-06           26    25     1 min -9.600000e+02  |normal     -9.600000e+02    0.00   92.49    27736  |normal     -9.600000e+02    0.00  257.75      715  |normal     -9.600000e+02    0.00   32.50      186  |normal     -9.440000e+02    1.69    0.32       --  |normal     -9.600000e+02    0.00   20.00        0  |normal     -9.600000e+02    0.00   58.70       13  |normal     -9.280000e+02    3.45    0.04        0  |timelim    -9.600000e+02    0.00  900.90   388350  |normal     -9.360000e+02    2.56    0.01       --  |--                    --     inf      --       -- !|normal     -9.600000e+02    0.00  354.75        0  |normal     -9.440000e+02    1.69    0.14        1  |timelim    -9.600000e+02    0.00  900.00   906582  |
autocorr_bern25-13           26    25     1 min -8.148000e+03  |iterlim    -8.148000e+03    0.00  448.17     7557  |timelim    -8.148000e+03    0.00  900.04    35035  |timelim    -8.148000e+03    0.00  900.02    19393  |normal     -8.016000e+03    1.65    0.40       --  |timelim    -8.148000e+03    0.00  900.00        0  |timelim    -8.140000e+03    0.10  900.00     1474  |normal     -8.052000e+03    1.19    0.09        0  |timelim    -8.148000e+03    0.00  900.33    64278  |normal     -7.984000e+03    2.05    0.00       --  |--                    --     inf      --       -- !|timelim    -8.036000e+03    1.39  900.03        0  |normal     -7.984000e+03    2.05    0.14        0  |timelim    -8.144000e+03    0.05  900.00    72046  |
