                            Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
4stufen                           1.0                       48.0              132.0               0.0                        0.0              149.0      1.163297e+05    1.061338e+05  False           
autocorr_bern20-03                1.0                       20.0                1.0               0.0                        0.0               21.0     -7.200000e+01   -7.200000e+01  False           
autocorr_bern20-05                1.0                       20.0                1.0               0.0                        0.0               21.0     -4.160000e+02   -4.160000e+02  False           
autocorr_bern20-10                1.0                       20.0                1.0               0.0                        0.0               21.0     -2.936000e+03   -2.936000e+03  False           
autocorr_bern20-15                1.0                       20.0                1.0               0.0                        0.0               21.0     -5.960000e+03   -5.960000e+03  False           
autocorr_bern25-03                1.0                       25.0                1.0               0.0                        0.0               26.0     -9.200000e+01   -9.200000e+01  False           
autocorr_bern25-06                1.0                       25.0                1.0               0.0                        0.0               26.0     -9.600000e+02   -9.600000e+02  False           
autocorr_bern25-13                1.0                       25.0                1.0               0.0                        0.0               26.0     -8.148000e+03   -8.148000e+03  False           
autocorr_bern30-04                1.0                       30.0                1.0               0.0                        0.0               31.0     -3.240000e+02   -3.240000e+02  False           
autocorr_bern30-08                1.0                       30.0                1.0               0.0                        0.0               31.0     -2.952000e+03   -3.220000e+03  False           
autocorr_bern35-04                1.0                       35.0                1.0               0.0                        0.0               36.0     -3.840000e+02   -3.840000e+02  False           
autocorr_bern40-05                1.0                       40.0                1.0               0.0                        0.0               41.0     -9.360000e+02   -1.021000e+03  False           
batch0812_nc                      1.0                       36.0              205.0               0.0                        0.0               76.0      2.687027e+06    2.687027e+06  False           
batch_nc                          1.0                       12.0               67.0               0.0                        0.0               34.0      2.855065e+05    2.855065e+05  False           
bchoco05                         -1.0                        6.0              130.0               0.0                        0.0               90.0      9.519030e-01    9.927049e-01  False           
bchoco06                         -1.0                        7.0              177.0               0.0                        0.0              118.0      9.627764e-01    9.991427e-01  False           
bchoco07                         -1.0                        8.0              204.0               0.0                        0.0              134.0      9.629924e-01    9.962795e-01  False           
blend029                         -1.0                       36.0              225.0               0.0                        0.0              102.0      1.335940e+01    1.335940e+01  False           
blend146                         -1.0                       87.0              648.0               0.0                        0.0              222.0      4.529657e+01    4.604289e+01  False           
blend480                         -1.0                      124.0              916.0               0.0                        0.0              312.0      9.226600e+00    9.226610e+00  False           
blend531                         -1.0                      104.0              768.0               0.0                        0.0              272.0      2.003900e+01    2.055328e+01  False           
blend721                         -1.0                       87.0              651.0               0.0                        0.0              222.0      1.352680e+01    1.352680e+01  False           
blend852                         -1.0                      120.0              892.0               0.0                        0.0              304.0      5.396270e+01    5.396270e+01  False           
carton7                           1.0                      256.0              719.0               0.0                        0.0              328.0      1.917295e+02    1.917295e+02  False           
casctanks                         1.0                       40.0              734.0               0.0                        0.0              500.0      9.163479e+00    9.044167e+00  False           
cecil_13                          1.0                      180.0              898.0               0.0                        0.0              840.0     -1.156565e+05   -1.156565e+05  False           
chp_shorttermplan1a               1.0                      144.0             2068.0               0.0                        0.0             1008.0      2.148424e+02    2.148391e+02  False           
chp_shorttermplan1b               1.0                      288.0             3850.0               0.0                        0.0             1680.0      2.541370e+02    2.466409e+02  False           
chp_shorttermplan2a               1.0                      240.0             3896.0               0.0                        0.0             1584.0      2.458004e+05    2.457998e+05  False           
chp_shorttermplan2b               1.0                      192.0             2552.0               0.0                        0.0             1392.0     -1.627352e+05   -1.640968e+05  False           
chp_shorttermplan2d               1.0                      528.0             6838.0               0.0                        0.0             3120.0      4.893821e+05    4.479428e+05  False           
crudeoil_lee1_05                 -1.0                       40.0             1400.0               0.0                        0.0              535.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee1_06                 -1.0                       48.0             1695.0               0.0                        0.0              642.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee1_07                 -1.0                       56.0             2000.0               0.0                        0.0              749.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee1_08                 -1.0                       64.0             2315.0               0.0                        0.0              856.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee1_09                 -1.0                       72.0             2640.0               0.0                        0.0              963.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee1_10                 -1.0                       80.0             2975.0               0.0                        0.0             1070.0      7.975000e+01    7.975000e+01  False           
crudeoil_lee2_05                 -1.0                       70.0             3001.0               0.0                        0.0             1155.0      9.616988e+01    9.616988e+01  False           
crudeoil_lee2_06                 -1.0                       84.0             3621.0               0.0                        0.0             1386.0      1.011746e+02    1.011746e+02  False           
crudeoil_lee2_07                 -1.0                       98.0             4258.0               0.0                        0.0             1617.0      1.011746e+02    1.011746e+02  False           
crudeoil_lee2_08                 -1.0                      112.0             4912.0               0.0                        0.0             1848.0      1.011746e+02    1.011746e+02  False           
crudeoil_lee2_09                 -1.0                      126.0             5583.0               0.0                        0.0             2079.0      1.011746e+02    1.011746e+02  False           
crudeoil_lee2_10                 -1.0                      140.0             6271.0               0.0                        0.0             2310.0      1.011746e+02    1.011746e+02  False           
crudeoil_lee3_05                 -1.0                       70.0             3276.0               0.0                        0.0             1280.0      8.544891e+01    8.544891e+01  False           
crudeoil_lee3_06                 -1.0                       84.0             3947.0               0.0                        0.0             1536.0      8.544891e+01    8.544891e+01  False           
crudeoil_lee3_07                 -1.0                       98.0             4635.0               0.0                        0.0             1792.0      8.544891e+01    8.544891e+01  False           
crudeoil_lee3_08                 -1.0                      112.0             5340.0               0.0                        0.0             2048.0      8.544891e+01    8.553645e+01  False           
crudeoil_lee3_09                 -1.0                      126.0             6062.0               0.0                        0.0             2304.0      8.544891e+01    8.625000e+01  False           
crudeoil_lee3_10                 -1.0                      140.0             6801.0               0.0                        0.0             2560.0      8.544891e+01    8.643333e+01  False           
crudeoil_lee4_05                 -1.0                       95.0             5001.0               0.0                        0.0             1955.0      1.325476e+02    1.325476e+02  False           
crudeoil_lee4_06                 -1.0                      114.0             6005.0               0.0                        0.0             2346.0      1.325476e+02    1.325476e+02  False           
crudeoil_lee4_07                 -1.0                      133.0             7029.0               0.0                        0.0             2737.0      1.325476e+02    1.325476e+02  False           
crudeoil_lee4_08                 -1.0                      152.0             8073.0               0.0                        0.0             3128.0      1.325476e+02    1.325476e+02  False           
crudeoil_lee4_09                 -1.0                      171.0             9137.0               0.0                        0.0             3519.0      1.325476e+02    1.325476e+02  False           
crudeoil_lee4_10                 -1.0                      190.0            10221.0               0.0                        0.0             3910.0      1.325476e+02    1.325476e+02  False           
crudeoil_li01                    -1.0                       48.0              751.0               0.0                        0.0              344.0      5.122565e+03    5.175851e+03  False           
crudeoil_li02                    -1.0                      240.0             5058.0               0.0                        0.0             1297.0      1.015674e+08    1.023769e+08  False           
crudeoil_li03                    -1.0                      132.0             2634.0               0.0                        0.0              964.0      3.483817e+03    3.543738e+03  False           
crudeoil_li05                    -1.0                      132.0             2108.0               0.0                        0.0              940.0      3.129841e+03    3.354220e+03  False           
crudeoil_li06                    -1.0                      132.0             2628.0               0.0                        0.0              964.0      3.355000e+03    3.355007e+03  False           
crudeoil_li11                    -1.0                      180.0             3697.0               0.0                        0.0             1177.0      4.686793e+03    4.735590e+03  False           
crudeoil_li21                    -1.0                      216.0             4873.0               0.0                        0.0             1348.0      4.799576e+03    4.875846e+03  False           
crudeoil_pooling_ct2             -1.0                      108.0              802.0               0.0                        0.0              403.0      1.024622e+04    1.025536e+04  False           
crudeoil_pooling_ct4             -1.0                      138.0             1019.0               0.0                        0.0              533.0      1.325826e+04    1.364630e+04  False           
crudeoil_pooling_dt1              1.0                      916.0             6348.0               0.0                        0.0             3712.0      2.095853e+05    2.095643e+05  False           
crudeoil_pooling_dt4             -1.0                     1326.0             8819.0               0.0                        0.0             5062.0      1.325765e+04    1.433232e+04  False           
csched1a                          1.0                       15.0               22.0               0.0                        0.0               28.0     -3.043018e+04   -3.043018e+04  False           
csched1                           1.0                       63.0               24.0               0.0                        0.0               77.0     -3.063926e+04   -3.063926e+04  False           
edgecross10-010                   1.0                       90.0              481.0               0.0                        0.0               91.0      1.000000e+00    1.000000e+00  False           
edgecross10-020                   1.0                       90.0              481.0               0.0                        0.0               91.0      1.100000e+01    1.100000e+01  False           
edgecross10-030                   1.0                       90.0              481.0               0.0                        0.0               91.0      5.200000e+01    5.200000e+01  False           
edgecross10-040                   1.0                       90.0              481.0               0.0                        0.0               91.0      1.420000e+02    1.420000e+02  False           
edgecross10-050                   1.0                       90.0              481.0               0.0                        0.0               91.0      2.760000e+02    2.760000e+02  False           
edgecross10-060                   1.0                       44.0              481.0               0.0                        0.0               91.0      4.590000e+02    4.590000e+02  False           
edgecross10-070                   1.0                       90.0              481.0               0.0                        0.0               91.0      7.170000e+02    7.170000e+02  False           
edgecross10-080                   1.0                       74.0              481.0               0.0                        0.0               91.0      1.037000e+03    1.037000e+03  False           
