                                  Instance                                   |                                 SHOTcpx1910@1                                  |                               SHOTcpx1910noref@1                               |                               SHOTcpx1910nrnc@1                                |                              SHOTcpx1910rcnoref@1                              |
name                      #Vars #Disc #Equs Dir    Dual bound  Primal bound I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
4stufen                     149    48   132 min  1.061338e+05  1.163297e+05  |normal      1.061309e+04      --            --      --     --    0.42       12  |normal      1.061309e+04      --            --      --     --    0.21        0  |normal      1.061309e+04      --            --      --     --    0.26       12  |normal      1.061309e+04      --            --      --     --    0.31        0  |
autocorr_bern20-03           21    20     1 min -7.200000e+01 -7.200000e+01  |normal     -7.200000e+01    0.00 -7.200000e+01    0.00   0.00    0.08        0  |normal      0.000000e+00     inf  0.000000e+00     inf   0.00    0.03        0 !|normal     -7.200000e+01    0.00 -7.200000e+01    0.00   0.00    0.04        0  |normal      0.000000e+00     inf  0.000000e+00     inf   0.00    0.04        0 !|
autocorr_bern20-05           21    20     1 min -4.160000e+02 -4.160000e+02  |normal     -4.160000e+02    0.00 -4.160000e+02    0.00   0.00    2.49     1558  |normal     -8.192000e+03   Large -3.680000e+02   13.04  Large    0.14      109  |normal     -4.160000e+02    0.00 -4.160000e+02    0.00   0.00    2.36     1558  |normal     -8.192000e+03   Large -3.800000e+02    9.47  Large    0.17      109  |
autocorr_bern20-10           21    20     1 min -2.936000e+03 -2.936000e+03  |normal     -2.936000e+03    0.00 -2.936000e+03    0.00   0.00   81.39     8711  |normal     -8.976000e+04   Large -2.800000e+03    4.86  Large    0.22       31  |normal     -2.936000e+03    0.00 -2.936000e+03    0.00   0.00   68.16     8711  |normal     -8.976000e+04   Large -2.800000e+03    4.86  Large    0.22       31  |
autocorr_bern20-15           21    20     1 min -5.960000e+03 -5.960000e+03  |normal     -5.960000e+03    0.00 -5.960000e+03    0.00   0.00  315.12   124401  |normal     -1.983520e+05   Large -5.644000e+03    5.60  Large    0.55        0  |normal     -5.960000e+03    0.00 -5.960000e+03    0.00   0.00  302.17   124401  |normal     -1.983520e+05   Large -5.644000e+03    5.60  Large    0.56        0  |
autocorr_bern25-03           26    25     1 min -9.200000e+01 -9.200000e+01  |normal     -9.200000e+01    0.00 -9.200000e+01    0.00   0.00    0.07        0  |normal      0.000000e+00     inf  0.000000e+00     inf   0.00    0.04        0 !|normal     -9.200000e+01    0.00 -9.200000e+01    0.00   0.00    0.04        0  |normal      0.000000e+00     inf  0.000000e+00     inf   0.00    0.04        0 !|
autocorr_bern25-06           26    25     1 min -9.600000e+02 -9.600000e+02  |normal     -9.600000e+02    0.00 -9.600000e+02    0.00   0.00  257.75      715  |normal     -2.336000e+04   Large -8.960000e+02    7.14  Large    0.18        0  |normal     -9.600000e+02    0.00 -9.600000e+02    0.00   0.00  253.10      715  |normal     -2.336000e+04   Large -8.960000e+02    7.14  Large    0.33        0  |
autocorr_bern25-13           26    25     1 min -8.148000e+03 -8.148000e+03  |timelim    -2.844133e+04  249.06 -8.148000e+03    0.00 249.06  900.04    35035  |normal     -2.637440e+05   Large -7.716000e+03    5.60  Large    0.67       35  |timelim    -2.847067e+04  249.42 -8.148000e+03    0.00 249.42  900.04    35035  |normal     -2.637440e+05   Large -7.716000e+03    5.60  Large    0.68       35  |
autocorr_bern30-04           31    30     1 min -3.240000e+02 -3.240000e+02  |normal     -3.240000e+02    0.00 -3.240000e+02    0.00   0.00   30.98    19572  |normal     -4.752000e+03   Large -2.800000e+02   15.71  Large    0.16      682  |normal     -3.240000e+02    0.00 -3.240000e+02    0.00   0.00   30.04    19572  |normal     -4.752000e+03   Large -2.800000e+02   15.71  Large    0.18      682  |
