                                  Instance                                  |                                    aecp.1@0                                    |                                    aoa.0@0                                     |                                    baron@0                                     |                                    boa.1@0                                     |                                   dicopt.1@0                                   |                                  minotaur.0@0                                  |                                    sbb.1@0                                     |                                    scip.1@0                                    |                                    shot.1@0                                    |
name                    #Vars #Disc  #Equs Dir    Dual bound  Primal bound I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
alan                        9     4      8 min  2.925000e+00  2.925000e+00  |normal      2.924431e+00    0.02  2.925000e+00    0.00   0.02   0.15        --  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.01        --  |normal      2.922078e+00    0.10  2.925000e+00    0.00   0.10   0.03         5  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.06         0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.16        --  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.00         0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.15         9  |normal      2.922078e+00    0.10  2.925000e+00    0.00   0.10   0.16         1  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.04         0  |
ball_mk2_10                11    10      2 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00  65.02        --  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   1.14        --  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   0.02         1  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00  69.91         0  |timelim    -5.000000e+00     inf           inf     inf    inf 900.02        --  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   0.35         0  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   2.44      2046  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   0.01         1  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   0.87      1525  |
ball_mk2_30                31    30      2 min  0.000000e+00  0.000000e+00  |timelim    -2.700000e+01     inf  0.000000e+00    0.00    inf 900.49        --  |timelim    -2.600000e+01     inf  0.000000e+00    0.00    inf 901.00        --  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   0.02         1  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00 180.96         0  |timelim    -2.700000e+01     inf           inf     inf    inf 900.02        --  |timelim               --     inf           inf     inf    inf 900.03         0  |--                    --     inf            --     inf     --     --        -- !|normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   0.01         1  |--                    --     inf            --     inf     --     --        -- !|
ball_mk3_10                11    10      2 min           inf           inf  |normal     -1.000000e+01     inf -1.000000e+01     inf   0.00   0.54        -- !|normal               inf    0.00           inf    0.00   0.00   4.14        --  |normal               inf    0.00           inf    0.00   0.00   1.91      1023  |normal               inf    0.00            --    0.00    inf 176.95     45802  |timelim    -8.000000e+00     inf           inf    0.00    inf 900.02        --  |normal               inf    0.00           inf    0.00   0.00   5.12         0  |normal               inf    0.00           inf    0.00   0.00   2.30      2254  |normal               inf    0.00           inf    0.00   0.00   0.01         0  |normal               inf    0.00           inf    0.00   0.00   1.57      5796  |
ball_mk3_20                21    20      2 min           inf           inf  |normal     -2.000000e+01     inf -2.000000e+01     inf   0.00  25.89        -- !|normal               inf    0.00           inf    0.00   0.00 901.08        --  |timelim    -1.000000e+01     inf           inf    0.00    inf 900.00    796776  |timelim    -2.169115e+01     inf           inf    0.00    inf 900.85    517575  |timelim    -2.100000e+01     inf           inf    0.00    inf 900.01        --  |timelim               --     inf           inf    0.00    inf 900.02         0  |--                    --     inf            --    0.00     --     --        -- !|normal               inf    0.00           inf    0.00   0.00   0.01         1  |timelim    -1.914474e+01     inf           inf    0.00    inf 900.03    323103  |
ball_mk3_30                31    30      2 min           inf           inf  |timelim    -3.345493e+01     inf  0.000000e+00     inf    inf 902.01        -- !|normal               inf    0.00           inf    0.00   0.00 900.80        --  |timelim    -2.600000e+01     inf           inf    0.00    inf 900.00    145976  |timelim    -3.262150e+01     inf           inf    0.00    inf 901.15    503115  |timelim    -3.200000e+01     inf           inf    0.00    inf 900.01        --  |timelim               --     inf           inf    0.00    inf 900.00         0  |--                    --     inf            --    0.00     --     --        -- !|normal               inf    0.00           inf    0.00   0.00   0.01         1  |timelim    -3.384051e+01     inf           inf    0.00    inf 900.02    299662  |
ball_mk4_05                11    10      2 min           inf           inf  |other       4.452941e+01     inf           inf    0.00    inf 301.71        -- !|normal               inf    0.00           inf    0.00   0.00   7.31        --  |normal               inf    0.00           inf    0.00   0.00   0.15        13  |timelim    -3.456862e+00     inf           inf    0.00    inf 900.30    664746  |timelim     7.000000e+00     inf           inf    0.00    inf 900.05        --  |timelim               --     inf           inf    0.00    inf 900.00         0  |normal               inf    0.00           inf    0.00   0.00   2.97      2086  |normal               inf    0.00           inf    0.00   0.00   0.72      1011  |normal               inf    0.00           inf    0.00   0.00   0.71      1503  |
ball_mk4_10                21    20      2 min           inf           inf  |timelim    -1.289242e+01     inf           inf    0.00    inf 902.02        --  |normal               inf    0.00           inf    0.00   0.00 900.76        --  |normal               inf    0.00           inf    0.00   0.00 124.63      7263  |timelim    -1.466510e+01     inf           inf    0.00    inf 901.46    647916  |timelim    -1.400000e+01     inf           inf    0.00    inf 900.07        --  |--                    --     inf            --    0.00     --     --        -- !|--                    --     inf            --    0.00     --     --        -- !|normal               inf    0.00           inf    0.00   0.00 872.64   1124196  |timelim     4.800000e+01     inf           inf    0.00    inf 900.06     81248  |
