                              Scb2804m    Scp2804m   Scp2804nq  Scp2804nqm  Scp2804nqme  Scp2804nqmopt  Scp2804nqmoptsp  Scp2804nqmsp  Scp2804nref    Scp2804s  Scp2804st1  Scp2804st4    Sgb2804s  virt. best  virt. worst
alan                          0.292261    0.048777    0.054517    0.064924     0.062241       0.059162         0.059290      0.060010     0.066815    0.049093    0.044753    0.050666    0.054995    0.044753     0.292261
ball_mk3_10                   0.047933    0.027546    0.059318    0.060344     0.049433       0.060447         0.061747      0.060523     0.062149    0.028806    0.029720    0.032252    0.150564    0.027546     0.150564
ball_mk3_20                   0.050140    0.031057    3.018065    5.841146     0.054320       6.034521         5.863869      5.906333     5.874886    0.032775    0.032465    0.031976  900.057908    0.031057   900.057908
ball_mk3_30                   0.054273    0.034109  900.035886  101.210325     0.070343     102.269347       101.024905    101.501920   100.591196    0.032614    0.028725    0.029316  900.010961    0.028725   900.035886
ball_mk4_05                 900.008523    0.057916    1.147129   76.664336    77.657780     105.669115       262.719074    235.958466    80.732499    0.053470    0.062636    0.051276    0.491495    0.051276   900.008523
ball_mk4_10                 900.002167    5.104203  900.015522  900.011234   900.008981     900.010494       900.012186    900.006671   900.011714    5.091443   18.174987    5.063914  900.013098    5.063914   900.015522
ball_mk4_15                 900.012064  906.238086  900.015480  900.016672   900.013875     900.008962       900.006757    906.635719   900.010353  907.744620  900.102191  902.451485  900.016110  900.006757   907.744620
batch0812                     1.363809    0.352932    0.201879    0.359025     0.404080       0.238503         0.234854      0.335627     0.136843    0.200793    0.189387    0.202989    0.124970    0.124970     1.363809
batchdes                      0.084688    0.054792    0.046359    0.058455     0.046891       0.067526         0.047542      0.053729     0.044702    0.042799    0.040642    0.047185    0.046083    0.040642     0.084688
batchs101006m                13.461773    2.596211    0.792213    2.590881     1.378284       0.629194         0.567732      2.583437     1.068127    0.796382    0.685674    0.673993    0.478453    0.478453    13.461773
batchs121208m                63.037084    7.063778    1.620371    7.036840     3.809163       3.239499         1.265655      7.412871     2.464032    1.628832    1.395103    1.449803    0.823896    0.823896    63.037084
batchs151208m               165.747113    6.357987    2.305169    6.374269     5.351426       1.771360         2.598091      8.733728     4.395695    2.223350    2.504766    2.005956    1.709852    1.709852   165.747113
batchs201210m                22.143435   13.745680    2.297286   13.921263    13.284983       2.667044         2.403451     10.066145     3.432145    2.255641    4.527140    2.512720    3.286228    2.255641    22.143435
batch                         0.470854    0.156914    0.098877    0.148099     0.158259       0.116692         0.114616      0.149872     0.134248    0.101939    0.097204    0.097661    0.107972    0.097204     0.470854
clay0203hfsg                  1.840441    0.289200    0.126064    0.289183     0.316587       0.197206         0.256599      0.281847     0.289910    0.121780    0.115858    0.112258    0.119509    0.112258     1.840441
clay0203h                     4.906129    0.380603    0.173153    0.372107     0.514458       0.279045         0.468089      0.389942     0.371988    0.169297    0.147862    0.156339    0.140422    0.140422     4.906129
clay0203m                     1.605796    0.165092    0.104887    0.187341     0.144761       0.215494         0.368808      0.202143     0.191323    0.130847    0.160025    0.124313    0.235065    0.104887     1.605796
clay0204hfsg                  6.531176    0.723206    0.344879    0.715412     0.741113       0.359167         0.501133      1.043532     0.710291    0.347274    0.361004    0.347399    0.243329    0.243329     6.531176
clay0204h                    11.191754    1.109535    0.286266    1.086334     2.185841       1.968664         2.547558      2.502527     1.075539    0.284988    0.438733    0.241716    0.282652    0.241716    11.191754
