                                   Instance                                    |                                  Scb2804m@1                                   |                                  Scp2804m@1                                   |                                  Scp2804nq@1                                  |                                 Scp2804nqm@1                                  |                                 Scp2804nqme@1                                 |                                Scp2804nqmopt@1                                |                               Scp2804nqmoptsp@1                               |                                Scp2804nqmsp@1                                 |                                 Scp2804nref@1                                 |                                  Scp2804s@1                                   |                                 Scp2804st1@1                                  |                                 Scp2804st4@1                                  |                                  Sgb2804s@1                                   |
name                       #Vars #Disc  #Equs Dir    Dual bound  Primal bound I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time    Nodes I|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
alan                           8     4      7 min  2.925000e+00  2.925000e+00  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.29        0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.05        0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.05        0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.06        0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.06        0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.06        0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.06        0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.06        0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.07        0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.05        0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.04        0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.05        0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.05        0  |
ball_mk2_10                   10    10      1 min  0.000000e+00  0.000000e+00  |normal               inf     inf           inf     inf   0.00   0.05        0 !|normal     -2.025479e-09     inf -2.025479e-09     inf   0.00   0.03        0  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   0.04        0  |normal     -3.131225e-15    0.00 -3.131225e-15    0.00   0.00   0.04        0  |normal     -4.510501e-16    0.00 -4.510501e-16    0.00   0.00   0.03        0  |normal     -3.131225e-15    0.00 -3.131225e-15    0.00   0.00   0.04        0  |normal     -3.131225e-15    0.00 -3.131225e-15    0.00   0.00   0.04        0  |normal     -3.131225e-15    0.00 -3.131225e-15    0.00   0.00   0.04        0  |normal     -3.131225e-15    0.00 -3.131225e-15    0.00   0.00   0.04        0  |normal     -2.025479e-09     inf -2.025479e-09     inf   0.00   0.03        0  |normal     -2.025479e-09     inf -2.025479e-09     inf   0.00   0.03        0  |normal     -2.025479e-09     inf -2.025479e-09     inf   0.00   0.03        0  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   0.19        0  |
ball_mk2_30                   30    30      1 min  0.000000e+00  0.000000e+00  |normal               inf     inf           inf     inf   0.00   0.05        0 !|normal     -2.008386e-09     inf -2.008386e-09     inf   0.00   0.03        0  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   0.06        0  |normal     -9.355685e-15    0.00 -9.355685e-15    0.00   0.00   0.05        0  |normal     -4.511086e-16    0.00 -4.511086e-16    0.00   0.00   0.04        0  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   0.05        0  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   0.05        0  |normal     -9.355685e-15    0.00 -9.355685e-15    0.00   0.00   0.05        0  |normal     -9.355685e-15    0.00 -9.355685e-15    0.00   0.00   0.05        0  |normal     -2.008386e-09     inf -2.008386e-09     inf   0.00   0.03        0  |normal     -2.008386e-09     inf -2.008386e-09     inf   0.00   0.03        0  |normal     -2.008386e-09     inf -2.008386e-09     inf   0.00   0.03        0  |timelim    -2.600000e+01     inf  0.000000e+00    0.00    inf 901.06        0  |
ball_mk3_10                   10    10      1 min           inf           inf  |normal               inf    0.00           inf    0.00   0.00   0.05        0  |normal               inf    0.00           inf    0.00   0.00   0.03        0  |normal               inf    0.00           inf    0.00   0.00   0.06        0  |normal               inf    0.00           inf    0.00   0.00   0.06     1392  |normal               inf    0.00           inf    0.00   0.00   0.05       11  |normal               inf    0.00           inf    0.00   0.00   0.06     1392  |normal               inf    0.00           inf    0.00   0.00   0.06     1427  |normal               inf    0.00           inf    0.00   0.00   0.06     1392  |normal               inf    0.00           inf    0.00   0.00   0.06     1427  |normal               inf    0.00           inf    0.00   0.00   0.03        0  |normal               inf    0.00           inf    0.00   0.00   0.03        0  |normal               inf    0.00           inf    0.00   0.00   0.03        0  |normal               inf    0.00           inf    0.00   0.00   0.15        0  |
ball_mk3_20                   20    20      1 min           inf           inf  |normal               inf    0.00           inf    0.00   0.00   0.05        0  |normal               inf    0.00           inf    0.00   0.00   0.03        0  |normal               inf    0.00           inf    0.00   0.00   3.02        0  |normal               inf    0.00           inf    0.00   0.00   5.84   212046  |normal               inf    0.00           inf    0.00   0.00   0.05       27  |normal               inf    0.00           inf    0.00   0.00   6.03   212046  |normal               inf    0.00           inf    0.00   0.00   5.86   212046  |normal               inf    0.00           inf    0.00   0.00   5.91   212046  |normal               inf    0.00           inf    0.00   0.00   5.87   212046  |normal               inf    0.00           inf    0.00   0.00   0.03        0  |normal               inf    0.00           inf    0.00   0.00   0.03        0  |normal               inf    0.00           inf    0.00   0.00   0.03        0  |timelim             -inf     inf           inf    0.00    inf 900.06        0  |
ball_mk3_30                   30    30      1 min           inf           inf  |normal               inf    0.00           inf    0.00   0.00   0.05        0  |normal               inf    0.00           inf    0.00   0.00   0.03        0  |timelim    -3.373049e+01     inf           inf    0.00    inf 900.04        0  |normal               inf    0.00           inf    0.00   0.00 101.21  3162423  |normal               inf    0.00           inf    0.00   0.00   0.07      445  |normal               inf    0.00           inf    0.00   0.00 102.27  3162423  |normal               inf    0.00           inf    0.00   0.00 101.02  3162423  |normal               inf    0.00           inf    0.00   0.00 101.50  3162423  |normal               inf    0.00           inf    0.00   0.00 100.59  3162423  |normal               inf    0.00           inf    0.00   0.00   0.03        0  |normal               inf    0.00           inf    0.00   0.00   0.03        0  |normal               inf    0.00           inf    0.00   0.00   0.03        0  |timelim             -inf     inf           inf    0.00    inf 900.01        0  |
ball_mk4_05                   10    10      1 min           inf           inf  |timelim     3.000000e+01     inf           inf    0.00    inf 900.01   553329  |normal               inf    0.00           inf    0.00   0.00   0.06      715  |normal               inf    0.00           inf    0.00   0.00   1.15     7959  |normal               inf    0.00           inf    0.00   0.00  76.66   340252  |normal               inf    0.00           inf    0.00   0.00  77.66   340252  |normal               inf    0.00           inf    0.00   0.00 105.67   690335  |normal               inf    0.00           inf    0.00   0.00 262.72  1788193  |normal               inf    0.00           inf    0.00   0.00 235.96  1615900  |normal               inf    0.00           inf    0.00   0.00  80.73   424640  |normal               inf    0.00           inf    0.00   0.00   0.05        0  |normal               inf    0.00           inf    0.00   0.00   0.06        0  |normal               inf    0.00           inf    0.00   0.00   0.05        0  |normal               inf    0.00           inf    0.00   0.00   0.49        0  |
ball_mk4_10                   20    20      1 min  7.100000e+01            --  |timelim    -1.070447e+03      --           inf      --    inf 900.00  4666504  |normal               inf      --           inf      --   0.00   5.10   175626  |timelim    -4.515465e+02      --           inf      --    inf 900.02  1149927  |timelim    -6.000000e+00      --           inf      --    inf 900.01  3979046  |timelim    -6.000000e+00      --           inf      --    inf 900.01  3967556  |timelim    -1.100000e+01      --           inf      --    inf 900.01  8462883  |timelim    -2.416737e+03      --           inf      --    inf 900.01 18781581  |timelim    -1.100000e+01      --           inf      --    inf 900.01  7304054  |timelim    -6.000000e+00      --           inf      --    inf 900.01  4002640  |normal               inf      --           inf      --   0.00   5.09        0  |normal               inf      --           inf      --   0.00  18.17        0  |normal               inf      --           inf      --   0.00   5.06        0  |timelim             -inf      --           inf      --    inf 900.01        0  |
