                         Scb2804m    boaos     scip  virt. best  virt. worst
alan                     0.292261    0.019    0.101    0.019000     0.292261
batch0812                1.363809    0.366    0.917    0.366000     1.363809
batchdes                 0.084688    0.006    0.110    0.006000     0.110000
batchs101006m           13.461773  575.149    8.440    8.440000   575.149000
batchs121208m           63.037084  821.378   13.948   13.948000   821.378000
batch                    0.470854    0.066    0.623    0.066000     0.623000
clay0203hfsg             1.840441    1.449    0.857    0.857000     1.840441
clay0203h                4.906129    1.741    0.997    0.997000     4.906129
clay0204hfsg             6.531176    5.309    3.145    3.145000     6.531176
clay0204h               11.191754    8.270    1.753    1.753000    11.191754
clay0204m                8.116406    2.241    1.294    1.294000     8.116406
clay0205hfsg            22.553909  357.735   13.523   13.523000   357.735000
clay0205h               39.051064  327.451   11.521   11.521000   327.451000
clay0205m               23.908938   72.723    4.970    4.970000    72.723000
clay0303hfsg            11.609850    2.117    1.004    1.004000    11.609850
clay0303h               11.419220    4.068    2.338    2.338000    11.419220
clay0304h               44.333003  141.684    2.226    2.226000   141.684000
clay0305hfsg            31.190857  418.572   17.793   17.793000   418.572000
clay0305m               37.524138  298.699    7.422    7.422000   298.699000
cvxnonsep_normcon20r     0.214756    0.086    0.302    0.086000     0.302000
cvxnonsep_normcon20      0.118923   86.547    1.843    0.118923    86.547000
cvxnonsep_normcon30r     0.192473    0.134    0.375    0.134000     0.375000
cvxnonsep_normcon40r     0.234663    0.042    0.441    0.042000     0.441000
cvxnonsep_nsig20r        0.172560    0.064    0.115    0.064000     0.172560
cvxnonsep_nsig20         0.135821    6.460   78.695    0.135821    78.695000
cvxnonsep_nsig40r        0.323479    0.148    0.333    0.148000     0.333000
cvxnonsep_pcon20r        0.517646    0.071    0.194    0.071000     0.517646
cvxnonsep_pcon20         0.251696    1.668    1.781    0.251696     1.781000
cvxnonsep_pcon30r        1.541388    0.201    0.531    0.201000     1.541388
cvxnonsep_pcon30         0.467126   85.724    9.703    0.467126    85.724000
cvxnonsep_pcon40r        1.902631    0.123    0.766    0.123000     1.902631
cvxnonsep_pcon40         0.512846  176.133   33.356    0.512846   176.133000
cvxnonsep_psig20r        0.169134    0.049    0.092    0.049000     0.169134
