                            Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
alan                              1.0                        4.0                7.0               0.0                        0.0                8.0      2.925000e+00    2.925000e+00  False           
ball_mk2_10                       1.0                       10.0                1.0               0.0                        0.0               10.0      0.000000e+00    0.000000e+00  False           
ball_mk2_30                       1.0                       30.0                1.0               0.0                        0.0               30.0      0.000000e+00    0.000000e+00  False           
ball_mk3_10                       1.0                       10.0                1.0               0.0                        0.0               10.0               inf             inf  False           
ball_mk3_20                       1.0                       20.0                1.0               0.0                        0.0               20.0               inf             inf  False           
ball_mk3_30                       1.0                       30.0                1.0               0.0                        0.0               30.0               inf             inf  False           
ball_mk4_05                       1.0                       10.0                1.0               0.0                        0.0               10.0               inf             inf  False           
ball_mk4_10                       1.0                       20.0                1.0               0.0                        0.0               20.0               NaN    7.100000e+01  False           
ball_mk4_15                       1.0                       30.0                1.0               0.0                        0.0               30.0               NaN    2.121536e+01  False           
batch0812                         1.0                       60.0              217.0               0.0                        0.0              100.0      2.687027e+06    2.687027e+06  False           
batchdes                          1.0                        9.0               19.0               0.0                        0.0               19.0      1.674277e+05    1.674277e+05  False           
batchs101006m                     1.0                      129.0             1019.0               0.0                        0.0              278.0      7.694404e+05    7.694404e+05  False           
batchs121208m                     1.0                      203.0             1511.0               0.0                        0.0              406.0      1.241126e+06    1.241126e+06  False           
batchs151208m                     1.0                      203.0             1781.0               0.0                        0.0              445.0      1.543472e+06    1.543472e+06  False           
batchs201210m                     1.0                      251.0             2327.0               0.0                        0.0              558.0      2.295349e+06    2.295349e+06  False           
batch                             1.0                       24.0               73.0               0.0                        0.0               46.0      2.855065e+05    2.855065e+05  False           
clay0203hfsg                      1.0                       18.0              132.0               0.0                        0.0               90.0      4.157326e+04    4.157326e+04  False           
clay0203h                         1.0                       18.0              132.0               0.0                        0.0               90.0      4.157330e+04    4.157330e+04  False           
clay0203m                         1.0                       18.0               54.0               0.0                        0.0               30.0      4.157326e+04    4.157326e+04  False           
clay0204hfsg                      1.0                       32.0              234.0               0.0                        0.0              164.0      6.545000e+03    6.545000e+03  False           
clay0204h                         1.0                       32.0              234.0               0.0                        0.0              164.0      6.545000e+03    6.545000e+03  False           
clay0204m                         1.0                       32.0               90.0               0.0                        0.0               52.0      6.545000e+03    6.545000e+03  False           
