                       Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
ball_mk2_10                  1.0                       10.0                2.0              21.0                       10.0               11.0      0.000000e+00    0.000000e+00  False           
ball_mk2_30                  1.0                       30.0                2.0              61.0                       30.0               31.0      0.000000e+00    0.000000e+00  False           
ball_mk3_10                  1.0                       10.0                2.0              21.0                       10.0               11.0               inf             inf  False           
ball_mk3_20                  1.0                       20.0                2.0              41.0                       20.0               21.0               inf             inf  False           
ball_mk3_30                  1.0                       30.0                2.0              61.0                       30.0               31.0               inf             inf  False           
ball_mk4_05                  1.0                       10.0                2.0              21.0                       10.0               11.0               inf             inf  False           
ball_mk4_10                  1.0                       20.0                2.0              41.0                       20.0               21.0               inf             inf  False           
ball_mk4_15                  1.0                       30.0                2.0              61.0                       30.0               31.0               NaN    5.882886e+01  False           
batchdes                     1.0                        9.0               20.0              53.0                       10.0               20.0      1.674277e+05    1.674277e+05  False           
cvxnonsep_normcon20r         1.0                       10.0               22.0              81.0                       20.0               41.0     -2.174915e+01   -2.174915e+01  False           
cvxnonsep_normcon20          1.0                       10.0                2.0              41.0                       20.0               21.0     -2.174915e+01   -2.174915e+01  False           
cvxnonsep_normcon30r         1.0                       15.0               32.0             121.0                       30.0               61.0     -3.424397e+01   -3.424397e+01  False           
cvxnonsep_normcon30          1.0                       15.0                2.0              61.0                       30.0               31.0     -3.424397e+01   -3.424397e+01  False           
cvxnonsep_normcon40r         1.0                       20.0               42.0             161.0                       40.0               81.0     -3.262967e+01   -3.262967e+01  False           
cvxnonsep_normcon40          1.0                       20.0                2.0              81.0                       40.0               41.0     -3.262967e+01   -3.262967e+01  False           
cvxnonsep_nsig20r            1.0                       10.0               22.0              81.0                       20.0               41.0      8.094930e+01    8.094930e+01  False           
cvxnonsep_nsig20             1.0                       10.0                2.0              41.0                       20.0               21.0      8.094930e+01    8.094930e+01  False           
cvxnonsep_nsig30r            1.0                       15.0               32.0             121.0                       30.0               61.0      1.564267e+02    1.564267e+02  False           
cvxnonsep_nsig30             1.0                       15.0                2.0              61.0                       30.0               31.0      1.306287e+02    1.306287e+02  False           
cvxnonsep_nsig40r            1.0                       20.0               42.0             161.0                       40.0               81.0      1.339613e+02    1.339613e+02  False           
cvxnonsep_nsig40             1.0                       20.0                2.0              81.0                       40.0               41.0      1.339613e+02    1.339613e+02  False           
cvxnonsep_pcon20r            1.0                       10.0               21.0              97.0                       38.0               40.0     -2.151230e+01   -2.151230e+01  False           
cvxnonsep_pcon20             1.0                       10.0                2.0              41.0                       20.0               21.0     -2.151230e+01   -2.151230e+01  False           
cvxnonsep_pcon30r            1.0                       15.0               31.0             147.0                       58.0               60.0     -3.598684e+01   -3.598684e+01  False           
cvxnonsep_pcon30             1.0                       15.0                2.0              61.0                       30.0               31.0     -3.598684e+01   -3.598684e+01  False           
cvxnonsep_pcon40r            1.0                       20.0               41.0             197.0                       78.0               80.0     -4.659917e+01   -4.659917e+01  False           
cvxnonsep_pcon40             1.0                       20.0                2.0              81.0                       40.0               41.0     -4.659917e+01   -4.659917e+01  False           
cvxnonsep_psig20r            1.0                       10.0               23.0              85.0                       21.0               43.0      9.589739e+01    9.589739e+01  False           
cvxnonsep_psig20             1.0                       10.0                1.0              21.0                       20.0               21.0      9.381139e+01    9.381139e+01  False           
cvxnonsep_psig30r            1.0                       15.0               33.0             125.0                       31.0               63.0      7.899885e+01    7.899885e+01  False           
cvxnonsep_psig30             1.0                       15.0                1.0              31.0                       30.0               31.0      7.899885e+01    7.899885e+01  False           
cvxnonsep_psig40r            1.0                       20.0               43.0             165.0                       41.0               83.0      8.654510e+01    8.654510e+01  False           
cvxnonsep_psig40             1.0                       20.0                1.0              41.0                       40.0               41.0      8.549577e+01    8.549577e+01  False           
du-opt5                      1.0                       12.0               10.0              47.0                       20.0               21.0      8.073658e+00    8.073658e+00  False           
du-opt                       1.0                       13.0               10.0              47.0                       20.0               21.0      3.556340e+00    3.556340e+00  False           
ex1223b                      1.0                        4.0               10.0              32.0                       17.0                8.0      4.579582e+00    4.579582e+00  False           
ex1223                       1.0                        4.0               14.0              40.0                       17.0               12.0      4.579582e+00    4.579582e+00  False           
fac1                         1.0                        6.0               19.0              75.0                       16.0               23.0      1.609126e+08    1.609126e+08  False           
fac2                         1.0                       12.0               34.0             217.0                       54.0               67.0      3.318375e+08    3.318375e+08  False           
fac3                         1.0                       12.0               34.0             217.0                       54.0               67.0      3.198231e+07    3.198231e+07  False           
ibs2                         1.0                     1500.0             1822.0           13511.0                     3000.0             3011.0      4.452848e+00    4.452848e+00  False           
nvs03                        1.0                        2.0                3.0               7.0                        3.0                3.0      1.600000e+01    1.600000e+01  False           
nvs10                        1.0                        2.0                3.0               7.0                        6.0                3.0     -3.108000e+02   -3.108000e+02  False           
nvs11                        1.0                        3.0                4.0              13.0                       12.0                4.0     -4.310000e+02   -4.310000e+02  False           
nvs12                        1.0                        4.0                5.0              21.0                       20.0                5.0     -4.812000e+02   -4.812000e+02  False           
nvs15                        1.0                        3.0                2.0               7.0                        3.0                4.0      1.000000e+00    1.000000e+00  False           
smallinvDAXr1b010-011        1.0                       30.0                4.0             121.0                       30.0               31.0      3.987975e-01    3.987975e-01  False           
smallinvDAXr1b020-022        1.0                       30.0                4.0             121.0                       30.0               31.0      1.571528e+00    1.571528e+00  False           
smallinvDAXr1b050-055        1.0                       30.0                4.0             121.0                       30.0               31.0      9.797143e+00    9.797143e+00  False           
smallinvDAXr1b100-110        1.0                       30.0                4.0             121.0                       30.0               31.0      3.916214e+01    3.916214e+01  False           
smallinvDAXr1b150-165        1.0                       30.0                4.0             121.0                       30.0               31.0      8.810493e+01    8.810493e+01  False           
smallinvDAXr1b200-220        1.0                       30.0                4.0             121.0                       30.0               31.0      1.566043e+02    1.566043e+02  False           
smallinvDAXr2b010-011        1.0                       30.0                4.0             121.0                       30.0               31.0      3.987975e-01    3.987975e-01  False           
smallinvDAXr2b020-022        1.0                       30.0                4.0             121.0                       30.0               31.0      1.571528e+00    1.571528e+00  False           
smallinvDAXr2b050-055        1.0                       30.0                4.0             121.0                       30.0               31.0      9.797143e+00    9.797143e+00  False           
smallinvDAXr2b100-110        1.0                       30.0                4.0             121.0                       30.0               31.0      3.916214e+01    3.916214e+01  False           
smallinvDAXr2b150-165        1.0                       30.0                4.0             121.0                       30.0               31.0      8.810493e+01    8.810493e+01  False           
smallinvDAXr2b200-220        1.0                       30.0                4.0             121.0                       30.0               31.0      1.566043e+02    1.566043e+02  False           
smallinvDAXr3b010-011        1.0                       30.0                4.0             121.0                       30.0               31.0      3.987975e-01    3.987975e-01  False           
