                                 Instance                                 |                                SHOTcpx1910MM@1                                 |                               SHOTcpx1910MMcvx@1                               |                                   baronNC@0                                    |                                 scipNCsoplex@1                                 |
name                   #Vars #Disc #Equs Dir    Dual bound  Primal bound I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
autocorr_bern25-13        26    25     1 min -8.148000e+03 -8.148000e+03  |timelim    -1.977933e+04  142.75 -8.148000e+03    0.00 142.75 1800.03    35035  |normal     -1.480000e+04   81.64 -7.364000e+03   10.65 100.98   11.05      804  |normal     -8.148148e+03    0.00 -8.140000e+03    0.10   0.10 1532.30       55  |timelim    -1.163000e+04   42.73 -8.148000e+03    0.00  42.73 1830.00   284126  |
cecil_13                 841   162   899 min -1.156565e+05 -1.156565e+05  |normal     -4.049874e+05  250.16 -1.083901e+05    6.70 273.64   43.96    41400  |normal     -1.081149e+05   -6.98 -1.071713e+05    7.92   0.88    2.63        0 !|normal     -1.157723e+05    0.10 -1.156565e+05    0.00   0.10   40.48       29  |normal     -1.157701e+05    0.10 -1.156565e+05    0.00   0.10 1275.31   137711  |
crudeoil_lee3_10        2561   140  5822 max  8.544891e+01  8.544891e+01  |normal      8.740000e+01    2.28  8.516720e+01    0.33   2.62   33.15     1107  |--                    --     inf            --     inf     --      --       -- !|--                    --     inf            --     inf     --      --       -- !|normal      8.552640e+01    0.09  8.544891e+01    0.00   0.09  245.61    24431  |
genpooling_meyer04       119    55   142 min  1.086187e+06  1.086187e+06  |normal      1.027659e+05  956.95  2.461052e+06  126.58  Large    0.52        0  |--                    --     inf            --     inf     --      --       -- !|timelim     7.626495e+05   42.42  1.213036e+06   11.68  59.06 1830.00   230484  |timelim     6.106879e+05   77.86  2.242789e+06  106.48 267.26 1830.23   516259  |
multiplants_mtg1a        194    93   257 max  3.916134e+02  3.916134e+02  |normal      0.000000e+00     inf  7.703754e+01  408.34    inf    0.77        0 !|error                inf     inf          -inf     inf    inf    0.81        0 !|normal               inf     inf  3.916134e+02   -0.00    inf  575.97    43721  |normal      3.916134e+02    0.00  3.916134e+02   -0.00   0.00  886.62   106813  |
oil                     1536    19  1547 min -9.325082e-01 -9.325082e-01  |normal     -3.232959e+00  246.69 -8.513733e-01    9.53 279.73    4.07        0  |error               -inf     inf           inf     inf    inf    2.77        0 !|timelim    -1.256130e+00   34.70 -9.325082e-01    0.00  34.70 1830.00     8986  |timelim    -1.150096e+00   23.33 -9.324939e-01    0.00  23.34 1830.02    14230  |
pooling_epa2             332    45   525 min -4.567356e+03 -4.567356e+03  |--                    --     inf            --     inf     --      --       -- !|error               -inf     inf           inf     inf    inf    0.56        0 !|timelim    -4.649452e+03    1.80 -4.567356e+03   -0.00   1.80 1830.00    56219  |timelim    -8.580354e+03   87.86 -4.262775e+03    7.15 101.29 1830.00    70445  |
radar-3000-10-a-8_lat_715001  3000 12002 min  1.039000e+03  1.039000e+03  |iterlim     9.000000e+00   Large  2.999500e+04   Large  Large  118.91        0  |normal      9.000000e+00   Large           inf     inf    inf    9.89        0  |timelim     9.000000e+00   Large  2.825000e+03  171.90  Large 1830.76        7  |timelim     3.901291e+02  166.32  1.056708e+03    1.70 170.86 1830.00     6588  |
sfacloc2_4_80            401   122  2372 min  9.953071e+00  9.953071e+00  |normal      0.000000e+00     inf  1.043273e+01    4.82    inf   11.67      995  |normal      1.222571e+01  -22.83  1.346861e+01   35.32  10.17    2.24     1021 !|normal      9.943638e+00    0.09  9.953582e+00    0.01   0.10  103.35     1864  |normal      9.953071e+00   -0.00  9.953071e+00    0.00   0.00  143.16    41450  |
