                        Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
alan                          1.0                        4.0                8.0              24.0                        3.0                9.0      2.925000e+00    2.925000e+00  False           
batch0812                     1.0                       60.0              218.0             545.0                       40.0              101.0      2.687027e+06    2.687027e+06  False           
batchdes                      1.0                        9.0               20.0              53.0                       10.0               20.0      1.674277e+05    1.674277e+05  False           
batchs101006m                 1.0                      129.0             1020.0            2866.0                       49.0              279.0      7.694404e+05    7.694404e+05  False           
batchs121208m                 1.0                      203.0             1512.0            4256.0                       59.0              407.0      1.241126e+06    1.241126e+06  False           
batchs151208m                 1.0                      203.0             1782.0            5069.0                       62.0              446.0      1.543472e+06    1.543472e+06  False           
batchs201210m                 1.0                      251.0             2328.0            6664.0                       67.0              559.0      2.295349e+06    2.295349e+06  False           
batch                         1.0                       24.0               74.0             191.0                       22.0               47.0      2.855065e+05    2.855065e+05  False           
cvxnonsep_normcon20r          1.0                       10.0               22.0              81.0                       20.0               41.0     -2.174915e+01   -2.174915e+01  False           
cvxnonsep_normcon20           1.0                       10.0                2.0              41.0                       20.0               21.0     -2.174915e+01   -2.174915e+01  False           
cvxnonsep_normcon30r          1.0                       15.0               32.0             121.0                       30.0               61.0     -3.424397e+01   -3.424397e+01  False           
cvxnonsep_normcon30           1.0                       15.0                2.0              61.0                       30.0               31.0     -3.424397e+01   -3.424397e+01  False           
cvxnonsep_normcon40r          1.0                       20.0               42.0             161.0                       40.0               81.0     -3.262967e+01   -3.262967e+01  False           
cvxnonsep_normcon40           1.0                       20.0                2.0              81.0                       40.0               41.0     -3.262967e+01   -3.262967e+01  False           
cvxnonsep_nsig20r             1.0                       10.0               22.0              81.0                       20.0               41.0      8.094930e+01    8.094930e+01  False           
cvxnonsep_nsig20              1.0                       10.0                2.0              41.0                       20.0               21.0      8.094930e+01    8.094930e+01  False           
cvxnonsep_nsig30r             1.0                       15.0               32.0             121.0                       30.0               61.0      1.564267e+02    1.564267e+02  False           
cvxnonsep_nsig30              1.0                       15.0                2.0              61.0                       30.0               31.0      1.306287e+02    1.306287e+02  False           
cvxnonsep_nsig40r             1.0                       20.0               42.0             161.0                       40.0               81.0      1.339613e+02    1.339613e+02  False           
cvxnonsep_nsig40              1.0                       20.0                2.0              81.0                       40.0               41.0      1.339613e+02    1.339613e+02  False           
cvxnonsep_pcon20r             1.0                       10.0               21.0              97.0                       38.0               40.0     -2.151230e+01   -2.151230e+01  False           
cvxnonsep_pcon20              1.0                       10.0                2.0              41.0                       20.0               21.0     -2.151230e+01   -2.151230e+01  False           
cvxnonsep_pcon30r             1.0                       15.0               31.0             147.0                       58.0               60.0     -3.598684e+01   -3.598684e+01  False           
cvxnonsep_pcon30              1.0                       15.0                2.0              61.0                       30.0               31.0     -3.598684e+01   -3.598684e+01  False           
cvxnonsep_pcon40r             1.0                       20.0               41.0             197.0                       78.0               80.0     -4.659917e+01   -4.659917e+01  False           
cvxnonsep_pcon40              1.0                       20.0                2.0              81.0                       40.0               41.0     -4.659917e+01   -4.659917e+01  False           
cvxnonsep_psig20r             1.0                       10.0               23.0              85.0                       21.0               43.0      9.589739e+01    9.589739e+01  False           
cvxnonsep_psig20              1.0                       10.0                1.0              21.0                       20.0               21.0      9.381139e+01    9.381139e+01  False           
cvxnonsep_psig30r             1.0                       15.0               33.0             125.0                       31.0               63.0      7.899885e+01    7.899885e+01  False           
cvxnonsep_psig30              1.0                       15.0                1.0              31.0                       30.0               31.0      7.899885e+01    7.899885e+01  False           
cvxnonsep_psig40r             1.0                       20.0               43.0             165.0                       41.0               83.0      8.654510e+01    8.654510e+01  False           
cvxnonsep_psig40              1.0                       20.0                1.0              41.0                       40.0               41.0      8.549577e+01    8.549577e+01  False           
du-opt                        1.0                       13.0               10.0              47.0                       20.0               21.0      3.556340e+00    3.556340e+00  False           
enpro48pb                     1.0                       92.0              215.0             742.0                       29.0              154.0      1.872773e+05    1.872773e+05  False           
enpro56pb                     1.0                       73.0              192.0             651.0                       24.0              128.0      2.634283e+05    2.634283e+05  False           
ex1223a                       1.0                        4.0               10.0              32.0                        9.0                8.0      4.579582e+00    4.579582e+00  False           
ex1223b                       1.0                        4.0               10.0              32.0                       17.0                8.0      4.579582e+00    4.579582e+00  False           
ex1223                        1.0                        4.0               14.0              40.0                       17.0               12.0      4.579582e+00    4.579582e+00  False           
fac1                          1.0                        6.0               19.0              75.0                       16.0               23.0      1.609126e+08    1.609126e+08  False           
fac2                          1.0                       12.0               34.0             217.0                       54.0               67.0      3.318375e+08    3.318375e+08  False           
fac3                          1.0                       12.0               34.0             217.0                       54.0               67.0      3.198231e+07    3.198231e+07  False           
flay02h                       1.0                        4.0               52.0             139.0                        2.0               47.0      3.794733e+01    3.794733e+01  False           
flay02m                       1.0                        4.0               12.0              39.0                        2.0               15.0      3.794733e+01    3.794733e+01  False           
flay03h                       1.0                       12.0              145.0             387.0                        3.0              123.0      4.898979e+01    4.898979e+01  False           
flay03m                       1.0                       12.0               25.0              87.0                        3.0               27.0      4.898979e+01    4.898979e+01  False           
flay04h                       1.0                       24.0              283.0             755.0                        4.0              235.0      5.440588e+01    5.440588e+01  False           
flay04m                       1.0                       24.0               43.0             155.0                        4.0               43.0      5.440588e+01    5.440588e+01  False           
flay05h                       1.0                       40.0              466.0            1243.0                        5.0              383.0      6.449806e+01    6.449806e+01  False           
flay05m                       1.0                       40.0               66.0             243.0                        5.0               63.0      6.449806e+01    6.449806e+01  False           
flay06h                       1.0                       60.0              694.0            1851.0                        6.0              567.0      6.693280e+01    6.693280e+01  False           
flay06m                       1.0                       60.0               94.0             351.0                        6.0               87.0      6.693280e+01    6.693263e+01  False           
gbd                           1.0                        3.0                5.0              17.0                        1.0                5.0      2.200000e+00    2.200000e+00  False           
hybriddynamic_fixed           1.0                       10.0               80.0             190.0                       11.0               72.0      1.473778e+00    1.473778e+00  False           
ibs2                          1.0                     1500.0             1822.0           13511.0                     3000.0             3011.0      4.452848e+00    4.452848e+00  False           
jit1                          1.0                        4.0               33.0             112.0                       12.0               26.0      1.739833e+05    1.739833e+05  False           
meanvarxsc                    1.0                       26.0               31.0              83.0                        7.0               36.0      1.436923e+01    1.436923e+01  False           
meanvarx                      1.0                       14.0               45.0             111.0                        7.0               36.0      1.436923e+01    1.436923e+01  False           
netmod_dol1                   1.0                      462.0             3138.0            8569.0                        6.0             1999.0     -5.600084e-01   -5.600084e-01  False           
netmod_dol2                   1.0                      462.0             3081.0           18737.0                        6.0             1999.0     -5.600084e-01   -5.600084e-01  False           
nvs03                         1.0                        2.0                3.0               7.0                        3.0                3.0      1.600000e+01    1.600000e+01  False           
nvs10                         1.0                        2.0                3.0               7.0                        6.0                3.0     -3.108000e+02   -3.108000e+02  False           
nvs11                         1.0                        3.0                4.0              13.0                       12.0                4.0     -4.310000e+02   -4.310000e+02  False           
nvs12                         1.0                        4.0                5.0              21.0                       20.0                5.0     -4.812000e+02   -4.812000e+02  False           
portfol_buyin                 1.0                        8.0               20.0              59.0                       16.0               18.0      2.942380e-02    2.942380e-02  False           
portfol_card                  1.0                        8.0               21.0              67.0                       16.0               18.0      3.221766e-02    3.221766e-02  False           
portfol_classical050_1        1.0                       50.0              104.0            2851.0                       50.0              151.0     -9.476012e-02   -9.476012e-02  False           
portfol_classical200_2        1.0                      200.0              404.0           41401.0                      200.0              601.0     -1.100882e-01   -1.100882e-01  False           
portfol_roundlot              1.0                        8.0               12.0              43.0                       16.0               18.0      2.829063e-02    2.829031e-02  False           
procurement2mot              -1.0                       60.0              762.0            2481.0                       12.0              797.0      2.120707e+02    2.120707e+02  False           
ravempb                       1.0                       53.0              187.0             611.0                       28.0              113.0      2.695902e+05    2.695902e+05  False           
risk2bpb                      1.0                       12.0              581.0            2289.0                        3.0              464.0     -5.587614e+01   -5.587614e+01  False           
rsyn0805h                    -1.0                       37.0              430.0            1059.0                        9.0              309.0      1.296121e+03    1.296121e+03  False           
rsyn0805m02h                 -1.0                      148.0             1046.0            2554.0                       18.0              701.0      2.238397e+03    2.238397e+03  False           
rsyn0805m03h                 -1.0                      222.0             1699.0            4135.0                       27.0             1051.0      3.068933e+03    3.068933e+03  False           
rsyn0805m04h                 -1.0                      296.0             2439.0            5919.0                       36.0             1401.0      7.174222e+03    7.174222e+03  False           
rsyn0810h                    -1.0                       42.0              484.0            1182.0                       18.0              344.0      1.721448e+03    1.721448e+03  False           
rsyn0810m02h                 -1.0                      168.0             1189.0            2875.0                       36.0              791.0      1.741388e+03    1.741388e+03  False           
rsyn0810m03h                 -1.0                      252.0             1936.0            4669.0                       54.0             1186.0      2.722449e+03    2.722449e+03  False           
rsyn0810m04h                 -1.0                      336.0             2785.0            6701.0                       72.0             1581.0      6.581937e+03    6.581937e+03  False           
rsyn0815h                    -1.0                       47.0              553.0            1339.0                       33.0              388.0      1.269926e+03    1.269926e+03  False           
rsyn0815m02h                 -1.0                      188.0             1362.0            3270.0                       66.0              899.0      1.774399e+03    1.774399e+03  False           
