                                   Instance                                    |                                   Scp2804s@1                                   |                                     aecp@1                                     |                                     aoa@0                                      |                                    baron@0                                     |                                    dicopt@1                                    |                                     sbb@1                                      |
name                       #Vars #Disc  #Equs Dir    Dual bound  Primal bound I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
alan                           8     4      7 min  2.925000e+00  2.925000e+00  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00    0.05        0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00    0.14       --  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00    0.01       --  |normal      2.922078e+00    0.10  2.925000e+00    0.00   0.10    0.15        5  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00    0.06       --  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00    0.16        9  |
ball_mk2_10                   10    10      1 min  0.000000e+00  0.000000e+00  |normal     -2.025479e-09     inf -2.025479e-09     inf   0.00    0.03        0  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   44.50       --  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00    0.74       --  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00    0.02        1  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00  885.49       --  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00    1.85     2046  |
ball_mk2_30                   30    30      1 min  0.000000e+00  0.000000e+00  |normal     -2.008386e-09     inf -2.008386e-09     inf   0.00    0.03        0  |timelim    -2.700000e+01     inf  0.000000e+00    0.00    inf  900.45       --  |timelim    -2.600000e+01     inf  0.000000e+00    0.00    inf  921.73       --  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00    0.03        1  |timelim    -2.700000e+01     inf           inf     inf    inf  900.03       --  |--                    --     inf            --     inf     --      --       -- !|
ball_mk3_10                   10    10      1 min           inf           inf  |normal               inf    0.00           inf    0.00   0.00    0.03        0  |other      -1.000000e+00     inf           inf    0.00    inf  223.17       -- !|normal               inf    0.00           inf    0.00   0.00    2.11       --  |normal               inf    0.00           inf    0.00   0.00    2.62     1023  |timelim    -7.000000e+00     inf           inf    0.00    inf  900.04       --  |normal               inf    0.00           inf    0.00   0.00    1.97     2254  |
ball_mk3_20                   20    20      1 min           inf           inf  |normal               inf    0.00           inf    0.00   0.00    0.03        0  |timelim    -2.088074e+01     inf           inf    0.00    inf  900.94       --  |timelim             -inf     inf           inf    0.00    inf  923.35       --  |timelim    -1.300000e+01     inf           inf    0.00    inf  900.00   680283  |timelim    -2.000000e+01     inf           inf    0.00    inf  900.04       --  |--                    --     inf            --    0.00     --      --       -- !|
ball_mk3_30                   30    30      1 min           inf           inf  |normal               inf    0.00           inf    0.00   0.00    0.03        0  |timelim    -3.462209e+01     inf           inf    0.00    inf  901.33       --  |timelim             -inf     inf           inf    0.00    inf  922.96       --  |timelim    -2.600000e+01     inf           inf    0.00    inf  900.00   483591  |timelim    -3.200000e+01     inf           inf    0.00    inf  900.03       --  |--                    --     inf            --    0.00     --      --       -- !|
ball_mk4_05                   10    10      1 min           inf           inf  |normal               inf    0.00           inf    0.00   0.00    0.05        0  |other       4.529412e+01     inf           inf    0.00    inf  302.17       -- !|normal               inf    0.00           inf    0.00   0.00    5.55       --  |timelim     4.515000e+03     inf           inf    0.00    inf  900.00    83462  |timelim     1.100000e+01     inf           inf    0.00    inf  900.05       --  |normal               inf    0.00           inf    0.00   0.00    1.93     2086  |
ball_mk4_10                   20    20      1 min  7.100000e+01            --  |normal               inf      --           inf      --   0.00    5.09        0  |timelim    -1.439900e+01      --           inf      --    inf  901.35       --  |normal               inf      --           inf      --   0.00    0.04       --  |timelim    -1.100000e+01      --           inf      --    inf  900.00    61501  |timelim    -1.400000e+01      --           inf      --    inf  900.11       --  |--                    --      --            --      --     --      --       -- !|
ball_mk4_15                   30    30      1 min  2.121536e+01            --  |timelim             -inf      --           inf      --    inf  907.74        0  |timelim    -7.992200e+01      --           inf      --    inf  902.02       --  |timelim             -inf      --           inf      --    inf  924.19       --  |timelim    -2.700000e+01      --           inf      --    inf  900.00    41567  |timelim    -3.300000e+01      --           inf      --    inf  900.25       --  |--                    --      --            --      --     --      --       -- !|
batch                         46    24     73 min  2.855065e+05  2.855065e+05  |normal      2.855065e+05   -0.00  2.855065e+05    0.00   0.00    0.10        0  |normal      2.855065e+05   -0.00  2.855065e+05    0.00   0.00    0.57       --  |normal      2.855065e+05    0.00  2.855065e+05    0.00   0.00    0.02       --  |normal      2.852213e+05    0.10  2.855065e+05    0.00   0.10    0.12        1  |normal      2.855065e+05   -0.00  2.855065e+05    0.00   0.00    0.12       --  |normal      2.855065e+05   -0.00  2.855065e+05    0.00   0.00    0.21       42  |
batch0812                    100    60    217 min  2.687027e+06  2.687027e+06  |normal      2.687027e+06   -0.00  2.687027e+06    0.00   0.00    0.20       18  |other       2.687026e+06    0.00  2.687027e+06    0.00   0.00   31.33       -- !|normal      2.687027e+06    0.00  2.687027e+06    0.00   0.00    0.04       --  |normal      2.684342e+06    0.10  2.687027e+06   -0.00   0.10    0.10        1  |normal      2.687027e+06    0.00  2.687027e+06   -0.00   0.00    0.16       --  |normal      2.686773e+06    0.01  2.687027e+06   -0.00   0.01    0.40      161  |
batchdes                      19     9     19 min  1.674277e+05  1.674277e+05  |normal      1.674277e+05   -0.00  1.674277e+05    0.00   0.00    0.04        0  |normal      1.674277e+05   -0.00  1.674277e+05    0.00   0.00    0.12       --  |normal      1.674277e+05    0.00  1.674277e+05    0.00   0.00    0.01       --  |normal      1.672604e+05    0.10  1.674277e+05    0.00   0.10    0.04        1  |normal      1.674277e+05   -0.00  1.674277e+05    0.00   0.00    0.04       --  |normal      1.674277e+05   -0.00  1.674277e+05    0.00   0.00    0.16       12  |
batchs101006m                278   129   1019 min  7.694404e+05  7.694404e+05  |normal      7.694404e+05    0.00  7.694404e+05   -0.00   0.00    0.80      237  |normal      7.694404e+05    0.00  7.694404e+05   -0.00   0.00    9.19       --  |normal      7.694404e+05    0.00  7.694404e+05    0.00   0.00    0.40       --  |normal      7.686717e+05    0.10  7.694404e+05   -0.00   0.10    3.91       43  |normal      7.694404e+05    0.00  7.694404e+05   -0.00   0.00    1.80       --  |normal      7.686769e+05    0.10  7.694404e+05   -0.00   0.10   35.98     5644  |
batchs121208m                406   203   1511 min  1.241126e+06  1.241126e+06  |normal      1.241126e+06   -0.00  1.241126e+06    0.00   0.00    1.63     1083  |normal      1.241126e+06    0.00  1.241126e+06    0.00   0.00   51.46       --  |normal      1.241126e+06    0.00  1.241126e+06    0.00   0.00    0.60       --  |normal      1.239886e+06    0.10  1.241126e+06    0.00   0.10   10.14       71  |normal      1.241126e+06    0.00  1.241126e+06   -0.00   0.00    3.32       --  |normal      1.240570e+06    0.04  1.241126e+06    0.00   0.04   62.93     7445  |
batchs151208m                445   203   1781 min  1.543472e+06  1.543472e+06  |normal      1.543472e+06    0.00  1.543472e+06   -0.00   0.00    2.22     1985  |normal      1.543472e+06    0.00  1.543472e+06   -0.00   0.00  179.15       --  |normal      1.543472e+06    0.00  1.543472e+06    0.00   0.00    1.25       --  |normal      1.541930e+06    0.10  1.543472e+06   -0.00   0.10   24.16       89  |normal      1.543472e+06    0.00  1.543472e+06   -0.00   0.00    4.77       --  |normal      1.542882e+06    0.04  1.544419e+06    0.06   0.10   36.64     3654  |
batchs201210m                558   251   2327 min  2.295349e+06  2.295349e+06  |normal      2.295349e+06    0.00  2.295349e+06   -0.00   0.00    2.26     1532  |normal      2.295349e+06    0.00  2.295349e+06   -0.00  -0.00   37.75       --  |normal      2.295349e+06    0.00  2.295349e+06   -0.00   0.00    2.08       --  |normal      2.293056e+06    0.10  2.295349e+06   -0.00   0.10   29.72       47  |normal      2.295349e+06    0.00  2.295349e+06   -0.00   0.00    4.74       --  |normal      2.293598e+06    0.08  2.295891e+06    0.02   0.10  113.75     8784  |
clay0203h                     90    18    132 min  4.157330e+04  4.157330e+04  |normal      4.157032e+04    0.01  4.157032e+04   -0.01   0.00    0.17      114  |normal      4.157330e+04    0.00  4.157330e+04   -0.00   0.00    1.07       --  |normal      4.157330e+04    0.00  4.157330e+04    0.00   0.00    0.09       --  |normal      4.153177e+04    0.10  4.157330e+04   -0.00   0.10    0.47       11  |normal      4.157330e+04   -0.00  4.157330e+04    0.00   0.00    0.37       --  |normal      4.157330e+04   -0.00  4.157330e+04    0.00   0.00    1.51      400  |
clay0203hfsg                  90    18    132 min  4.157326e+04  4.157326e+04  |normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00    0.12       29  |normal      4.157326e+04    0.00  4.157326e+04    0.00   0.00    1.14       --  |normal      4.157326e+04    0.00  4.157326e+04    0.00   0.00    0.09       --  |normal      4.153173e+04    0.10  4.157326e+04    0.00   0.10    1.03       23  |normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00    0.28       --  |normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00    1.47      318  |
clay0203m                     30    18     54 min  4.157326e+04  4.157326e+04  |normal      4.157326e+04    0.00  4.157326e+04   -0.00   0.00    0.13        0  |normal      4.157326e+04    0.00  4.157326e+04    0.00   0.00    0.88       --  |normal      4.157326e+04    0.00  4.157326e+04    0.00   0.00    0.08       --  |normal      4.153173e+04    0.10  4.157326e+04    0.00   0.10    0.30        5  |normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00    0.28       --  |normal      4.157326e+04   -0.00  4.157326e+04    0.00   0.00    0.60      322  |
clay0204h                    164    32    234 min  6.545000e+03  6.545000e+03  |normal      6.545000e+03    0.00  6.545000e+03   -0.00   0.00    0.28      292  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00    2.67       --  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00    0.19       --  |normal      6.538462e+03    0.10  6.545000e+03    0.00   0.10    0.31        1  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00    0.45       --  |normal      6.545000e+03    0.00  6.545000e+03    0.00   0.00   14.59     3685  |
