                         Scp2804s     aecp      aoa    baron   dicopt      sbb  virt. best  virt. worst
alan                     0.049093    0.135    0.010    0.150    0.062    0.157    0.010000        0.157
ball_mk2_10              0.031763   44.498    0.740    0.020  885.486    1.846    0.020000      885.486
batchdes                 0.042799    0.121    0.010    0.040    0.037    0.161    0.010000        0.161
batchs101006m            0.796382    9.190    0.400    3.910    1.804   35.977    0.400000       35.977
batchs121208m            1.628832   51.457    0.600   10.140    3.324   62.929    0.600000       62.929
batchs151208m            2.223350  179.145    1.250   24.160    4.771   36.638    1.250000      179.145
batchs201210m            2.255641   37.754    2.080   29.720    4.738  113.750    2.080000      113.750
batch                    0.101939    0.571    0.020    0.120    0.121    0.209    0.020000        0.571
clay0203hfsg             0.121780    1.139    0.090    1.030    0.281    1.472    0.090000        1.472
clay0203h                0.169297    1.073    0.090    0.470    0.368    1.513    0.090000        1.513
clay0203m                0.130847    0.876    0.080    0.300    0.278    0.604    0.080000        0.876
clay0204hfsg             0.347274    3.192    0.190    0.920    0.552   15.567    0.190000       15.567
clay0204h                0.284988    2.665    0.190    0.310    0.453   14.588    0.190000       14.588
clay0204m                0.203405    1.152    0.110    0.310    0.175    3.814    0.110000        3.814
clay0205hfsg             0.835389    9.810    0.920    3.790    3.071  708.529    0.835389      708.529
clay0205h                1.291353   15.942    1.040    3.020    5.010  222.158    1.040000      222.158
clay0205m                0.597227    5.737    0.580    2.060    1.418   83.373    0.580000       83.373
clay0303hfsg             0.158602    2.595    0.100    1.870    0.486    4.457    0.100000        4.457
clay0303h                0.247339    1.222    0.150    0.910    0.563    2.678    0.150000        2.678
clay0304hfsg             0.486690    5.298    0.360    6.220    1.074  193.426    0.360000      193.426
clay0304h                0.474280    7.019    0.470    4.020    1.809  188.639    0.470000      188.639
clay0304m                0.331039    4.704    0.340    3.330    0.992   39.687    0.331039       39.687
clay0305hfsg             1.297442   28.345    1.410    2.410    2.996  855.591    1.297442      855.591
clay0305h                1.736898   19.094    1.420    2.620    7.780  575.906    1.420000      575.906
clay0305m                1.067470    4.578    0.860    2.580    1.949   68.633    0.860000       68.633
cvxnonsep_normcon20r     0.057815    1.366    0.050    0.090    0.103    0.178    0.050000        1.366
cvxnonsep_normcon20      0.108095  117.485    1.000    0.150   26.048    0.172    0.108095      117.485
cvxnonsep_normcon30r     0.127098    2.223    0.080    0.380    0.195    0.230    0.080000        2.223
cvxnonsep_normcon30      0.213225  902.016   11.190    0.390  900.092    0.213    0.213000      902.016
cvxnonsep_normcon40r     0.095492    3.672    0.100    1.000    0.094    0.465    0.094000        3.672
cvxnonsep_normcon40      0.236143  901.147  364.790    1.100  900.054    0.369    0.236143      901.147
cvxnonsep_nsig20r        0.111477    1.778    0.080    0.140    0.136    0.192    0.080000        1.778
cvxnonsep_nsig20         0.095853  136.230    1.060    0.280   21.113    0.184    0.095853      136.230
cvxnonsep_nsig30r        0.172114    3.582    0.110    0.210    0.167    0.215    0.110000        3.582
cvxnonsep_nsig30         0.116646  901.149   41.100    1.120  474.434    0.184    0.116646      901.149
cvxnonsep_nsig40r        0.250092    5.072    0.170    0.560    0.211    0.315    0.170000        5.072
cvxnonsep_nsig40         0.120413  900.537   42.300    1.630  900.042    0.259    0.120413      900.537
cvxnonsep_pcon20r        0.107391    2.075    0.040    0.150    0.104    0.228    0.040000        2.075
cvxnonsep_pcon30r        0.120023    3.716    0.080    0.380    0.188    0.321    0.080000        3.716
cvxnonsep_pcon40r        0.163777    4.357    0.110    0.530    0.119    0.265    0.110000        4.357
cvxnonsep_pcon40         0.103923  900.384    3.460    0.410  213.637    0.234    0.103923      900.384
cvxnonsep_psig20r        0.089111    1.727    0.060    0.090    0.069    0.178    0.060000        1.727
cvxnonsep_psig20         0.087208  390.125    1.020    0.070    0.049    0.162    0.049000      390.125
cvxnonsep_psig30         0.068825  900.667    1.410    2.010  296.325    0.218    0.068825      900.667
cvxnonsep_psig40r        0.216740    3.057    0.100    0.290    0.163    0.259    0.100000        3.057
