                              Scp2804s     aecp     aoa   baron   dicopt      sbb  virt. best  virt. worst
ball_mk2_10                   0.031763   44.498    0.74    0.02  885.486    1.846    0.020000      885.486
batchs101006m                 0.796382    9.190    0.40    3.91    1.804   35.977    0.400000       35.977
batchs121208m                 1.628832   51.457    0.60   10.14    3.324   62.929    0.600000       62.929
batchs151208m                 2.223350  179.145    1.25   24.16    4.771   36.638    1.250000      179.145
batchs201210m                 2.255641   37.754    2.08   29.72    4.738  113.750    2.080000      113.750
clay0204hfsg                  0.347274    3.192    0.19    0.92    0.552   15.567    0.190000       15.567
clay0204h                     0.284988    2.665    0.19    0.31    0.453   14.588    0.190000       14.588
clay0205hfsg                  0.835389    9.810    0.92    3.79    3.071  708.529    0.835389      708.529
clay0205h                     1.291353   15.942    1.04    3.02    5.010  222.158    1.040000      222.158
clay0205m                     0.597227    5.737    0.58    2.06    1.418   83.373    0.580000       83.373
clay0304hfsg                  0.486690    5.298    0.36    6.22    1.074  193.426    0.360000      193.426
clay0304h                     0.474280    7.019    0.47    4.02    1.809  188.639    0.470000      188.639
clay0304m                     0.331039    4.704    0.34    3.33    0.992   39.687    0.331039       39.687
clay0305hfsg                  1.297442   28.345    1.41    2.41    2.996  855.591    1.297442      855.591
clay0305h                     1.736898   19.094    1.42    2.62    7.780  575.906    1.420000      575.906
clay0305m                     1.067470    4.578    0.86    2.58    1.949   68.633    0.860000       68.633
color_lab2_4x0              900.034321  903.199  910.00  900.07  900.001  905.346  900.001000      910.000
color_lab6b_4x20            900.026888  904.656  910.00  900.00  900.253  906.062  900.000000      910.000
cvxnonsep_normcon20           0.108095  117.485    1.00    0.15   26.048    0.172    0.108095      117.485
cvxnonsep_normcon30           0.213225  902.016   11.19    0.39  900.092    0.213    0.213000      902.016
cvxnonsep_normcon40           0.236143  901.147  364.79    1.10  900.054    0.369    0.236143      901.147
cvxnonsep_nsig20              0.095853  136.230    1.06    0.28   21.113    0.184    0.095853      136.230
cvxnonsep_nsig30              0.116646  901.149   41.10    1.12  474.434    0.184    0.116646      901.149
cvxnonsep_nsig40              0.120413  900.537   42.30    1.63  900.042    0.259    0.120413      900.537
cvxnonsep_pcon40              0.103923  900.384    3.46    0.41  213.637    0.234    0.103923      900.384
cvxnonsep_psig20              0.087208  390.125    1.02    0.07    0.049    0.162    0.049000      390.125
cvxnonsep_psig30              0.068825  900.667    1.41    2.01  296.325    0.218    0.068825      900.667
cvxnonsep_psig40              0.077945  900.019    5.39    3.29  900.026    0.235    0.077945      900.026
du-opt                        0.049312   19.891    0.21    0.26    4.642    0.429    0.049312       19.891
flay04h                       0.393516   52.408    0.44    9.20    4.083    8.436    0.393516       52.408
flay04m                       0.299994   51.409    0.18    4.80    1.773    3.361    0.180000       51.409
flay06h                     900.020632  902.124  910.00  900.00  900.009  910.000  900.000000      910.000
fo7_2                         2.407114   13.042    4.17    4.00    5.480  910.000    2.407114      910.000
fo7_ar25_1                    4.153564   14.368    3.46    2.79    7.444  910.000    2.790000      910.000
fo7_ar2_1                     3.210248   22.400    3.90    8.92    5.792  910.000    3.210248      910.000
fo7_ar3_1                     3.741644   17.065    7.37   14.09   10.780  910.000    3.741644      910.000
fo7_ar4_1                     2.395545   23.699    5.76    5.20    4.718  910.000    2.395545      910.000
fo7_ar5_1                     1.734987    6.639    1.20    3.40    4.638  910.000    1.200000      910.000
fo7                           7.027475   38.078    7.42   17.07   20.266  910.000    7.027475      910.000
fo8_ar25_1                   12.712573  138.469   14.88   29.28   31.893  910.000   12.712573      910.000
fo8_ar2_1                     8.967622  120.937   12.81   14.46   19.575  910.000    8.967622      910.000
fo8_ar3_1                     7.747501   55.000    4.77    8.33    7.600  910.000    4.770000      910.000
fo8_ar4_1                     8.858164   67.934    3.38  123.62   13.017  910.000    3.380000      910.000
fo8_ar5_1                     9.209033   48.764   14.06  386.68   13.635  909.873    9.209033      909.873
fo8                          10.007918  157.970   39.79  111.91   61.355  910.000   10.007918      910.000
fo9_ar25_1                  349.063466  902.052  473.30  274.41  491.217  910.000  274.410000      910.000
fo9_ar2_1                    87.524755  346.623  104.94  107.92  448.671  910.000   87.524755      910.000
fo9_ar3_1                    12.360681  161.782   35.54   67.59   11.721  910.000   11.721000      910.000
fo9_ar4_1                     6.614677  214.740   43.96  108.97   28.059  910.000    6.614677      910.000
fo9_ar5_1                    35.325753  213.874   37.82  499.97   99.123  908.180   35.325753      908.180
fo9                          35.717080  134.478   60.30  900.00  101.316  910.000   35.717080      910.000
gams01                      900.030193  902.386  910.00  900.00  900.014  909.104  900.000000      910.000
ibs2                        903.906578  902.008  910.00  900.00  900.002  902.123  900.000000      910.000
m6                            0.093325    0.436    0.07    0.15    0.105  294.838    0.070000      294.838
m7_ar25_1                     0.097185    0.500    0.10    0.26    0.565  910.000    0.097185      910.000
m7_ar2_1                      0.421442    1.420    0.55    2.87    1.841  751.261    0.421442      751.261
m7_ar3_1                      0.524213    1.801    0.76    2.72    1.890  910.000    0.524213      910.000
m7_ar4_1                      0.318027    0.696    0.32    0.38    0.643  910.000    0.318027      910.000
m7_ar5_1                      0.532338    1.238    0.36    0.64    0.815  910.000    0.360000      910.000
m7                            0.419120    1.273    0.21    0.64    0.606  910.000    0.210000      910.000
netmod_dol1                 534.322828  902.023  910.00  900.00  900.017  902.208  534.322828      910.000
netmod_dol2                  14.285502   95.944   10.63   32.12   72.715  273.768   10.630000      273.768
netmod_kar1                   0.343977   24.573    1.38  900.00   22.603   60.176    0.343977      900.000
netmod_kar2                   0.348688   24.694    1.14  900.00   22.719   60.297    0.348688      900.000
no7_ar25_1                    4.668387   64.237    9.25   17.25   10.183  910.000    4.668387      910.000
no7_ar2_1                     2.487427   22.955    5.34    5.31    9.256  910.000    2.487427      910.000
no7_ar3_1                    12.453644  132.302   18.39   27.15   27.376  910.000   12.453644      910.000
no7_ar4_1                    14.734669  131.329   10.62   26.19   50.608  910.000   10.620000      910.000
no7_ar5_1                     8.851850   75.448   10.27   14.62   56.282  910.000    8.851850      910.000
o7_2                         35.564033  426.086   75.19   78.52  163.462  910.000   35.564033      910.000
o7_ar25_1                    24.185512  209.751   42.13   62.48  123.206  910.000   24.185512      910.000
o7_ar2_1                     10.229234   74.711   16.83   27.39   28.524  910.000   10.229234      910.000
o7_ar3_1                     41.927234  431.099   84.84   81.43  282.733  910.000   41.927234      910.000
o7_ar4_1                     71.808722  794.592  112.02  116.69  666.081  910.000   71.808722      910.000
o7_ar5_1                     32.303032   83.767   59.21   47.88   99.084  910.000   32.303032      910.000
o7                           79.575687  902.064  153.71  249.43  827.533  910.000   79.575687      910.000
o8_ar4_1                    804.714412  902.061  621.45  900.00  900.244  910.000  621.450000      910.000
o9_ar4_1                    900.023898  902.293  910.00  900.00  900.013  910.000  900.000000      910.000
pedigree_ex1058             900.018434  902.176  910.00  900.08  900.014  905.739  900.014000      910.000
pedigree_ex485              902.918232  902.095  910.00   34.25  900.021  910.000   34.250000      910.000
pedigree_sim400             900.019244  902.071  910.00  900.02  900.019  902.440  900.019000      910.000
pedigree_sp_top4_350tr      900.020310  902.133  910.00   13.92  900.021  910.000   13.920000      910.000
pedigree_sp_top5_200        903.381436  902.080  910.00  900.09  900.111  910.000  900.090000      910.000
pedigree_sp_top5_250        902.511467  902.166  910.00  456.43  900.043  910.000  456.430000      910.000
portfol_classical050_1        0.789904  902.018  910.00   30.68  900.022   14.776    0.789904      910.000
portfol_classical200_2      902.462375  902.033  910.00  900.00  900.079  910.000  900.000000      910.000
portfol_roundlot            901.225827  902.124  910.00    6.08   26.839    3.576    3.576000      910.000
procurement2mot               0.375672    5.869    0.22    1.95    0.701   88.665    0.220000       88.665
rsyn0805m04m                  0.629508    8.534    0.72    5.63    4.141  910.000    0.629508      910.000
rsyn0805m                     0.107488    0.629    0.09    0.11    0.248   51.973    0.090000       51.973
rsyn0810m02h                  0.336577    4.317    0.54   10.67    2.446    8.545    0.336577       10.670
rsyn0810m03hfsg               0.496744    8.780    0.92    5.39    1.505   17.741    0.496744       17.741
rsyn0810m03h                  0.499327    8.860    1.37   34.89    2.281   27.178    0.499327       34.890
rsyn0810m03m                  1.175694   16.790    0.78    8.31    2.321  910.000    0.780000      910.000
rsyn0810m04h                  0.744865    9.193    1.65   23.36    6.395   14.675    0.744865       23.360
rsyn0810m04m                  0.952265   14.220    0.85    6.14    5.303  910.000    0.850000      910.000
rsyn0810m                     0.083328    0.443    0.08    0.12    0.233  300.064    0.080000      300.064
rsyn0815m03hfsg               0.661677    4.666    1.11    6.67    1.851   23.109    0.661677       23.109
rsyn0815m03h                  0.676352    4.850    1.55   13.17    3.338   42.895    0.676352       42.895
rsyn0815m03m                  1.013885   12.993    0.90    7.45    2.529  910.000    0.900000      910.000
rsyn0815m04hfsg               1.086441    7.331    1.52    7.16    3.851   29.268    1.086441       29.268
rsyn0815m04h                  1.208785    7.957    3.56   24.14    7.381   43.731    1.208785       43.731
rsyn0815m04m                  1.132045   20.623    1.66   14.02   10.774  910.000    1.132045      910.000
rsyn0815m                     0.097172    0.476    0.09    0.12    0.256  226.399    0.090000      226.399
rsyn0820m02hfsg               0.403521    2.994    0.45    8.32    1.715   21.597    0.403521       21.597
rsyn0820m02h                  0.404606    2.717    0.54    6.96    1.871   27.941    0.404606       27.941
rsyn0820m02m                  0.548286    6.625    0.45    5.65    3.753  910.000    0.450000      910.000
rsyn0820m03hfsg               0.867289    5.003    1.21   11.17    2.829  125.996    0.867289      125.996
rsyn0820m03h                  0.804311    5.190    1.57   18.05    4.342  139.510    0.804311      139.510
rsyn0820m03m                  1.190752   13.961    1.07   12.37   10.955  910.000    1.070000      910.000
rsyn0820m04hfsg               1.335004    6.309    2.01   12.70    4.684  135.034    1.335004      135.034
rsyn0820m04h                  1.364681    6.406    3.48   35.05   10.714  163.904    1.364681      163.904
rsyn0820m04m                  2.659399   23.664    1.68   17.30   25.041  910.000    1.680000      910.000
rsyn0830m02h                  0.673032    8.603    0.68    6.11    2.265   14.733    0.673032       14.733
rsyn0830m02m                  0.685578   15.343    0.54    4.71    3.542  910.000    0.540000      910.000
rsyn0830m03hfsg               1.892081   21.593    1.42   15.03    3.842   22.826    1.420000       22.826
rsyn0830m03h                  1.962418   21.764    1.85   14.38    4.404   43.142    1.850000       43.142
rsyn0830m03m                  1.679376   40.376    1.40   10.77    6.711  910.000    1.400000      910.000
rsyn0830m04hfsg               2.503272   35.257    2.63   19.90    5.946  118.478    2.503272      118.478
rsyn0830m04h                  3.228578   35.694    3.55  132.93    7.100  242.038    3.228578      242.038
rsyn0830m04m                  4.173671  106.792    2.27   26.41   60.251  910.000    2.270000      910.000
rsyn0840m02h                  0.834120    8.665    0.89   16.44    2.210    8.962    0.834120       16.440
rsyn0840m03hfsg               3.086963   18.398    2.25    3.35    3.099   27.842    2.250000       27.842
rsyn0840m03h                  1.792592   18.534    2.80   20.03    4.350   52.905    1.792592       52.905
rsyn0840m03m                  1.677764   31.110    1.11   12.23    4.995  910.000    1.110000      910.000
rsyn0840m04h                  4.662520   48.109    3.95   37.68    7.824  180.667    3.950000      180.667
rsyn0840m04m                  7.516690  146.344    3.04   24.30   25.204  910.000    3.040000      910.000
slay04h                       0.084285   10.151    0.08    0.22    0.465    0.744    0.080000       10.151
slay05h                       0.137407   61.906    0.11    0.26    0.974    5.031    0.110000       61.906
slay06m                       0.049878   54.074    0.09    0.22    0.625    0.496    0.049878       54.074
slay08h                       0.726853  459.982    1.00    1.29   15.575  910.000    0.726853      910.000
slay08m                       0.066625  231.921    0.34    0.35    2.711    0.928    0.066625      231.921
slay09h                       4.335733  902.028    5.59    1.92   53.796  910.000    1.920000      910.000
slay09m                       0.091506  900.144    1.47    0.64   12.879   47.294    0.091506      900.144
slay10h                      60.218724  902.036  196.68  152.87  900.016  910.000   60.218724      910.000
slay10m                       0.219195  902.027   19.68  542.00  378.336  154.627    0.219195      902.027
smallinvDAXr1b020-022         0.071553    1.036    0.29    1.74   18.000    0.233    0.071553       18.000
smallinvDAXr1b050-055         0.063462    0.810    0.26    3.55   15.134    0.329    0.063462       15.134
smallinvDAXr1b100-110         0.074210    1.217    0.17    0.79   31.406    0.314    0.074210       31.406
smallinvDAXr1b200-220         0.061761    1.106    0.25    0.61   10.247    0.357    0.061761       10.247
smallinvDAXr2b020-022         0.064273    1.033    0.26    1.74   27.319    0.230    0.064273       27.319
smallinvDAXr2b050-055         0.058095    0.809    0.35    2.64   17.961    0.330    0.058095       17.961
