                                  Instance                                  |                                 SHOT_cpx_m.1@0                                 |                               SHOT_cpx_m_ecp.1@0                               |                            SHOT_cpx_m_ecp_nonlp.1@0                            |                            SHOT_cpx_m_opt_nosp.1@0                             |                             SHOT_cpx_m_opt_sp.1@0                              |                               SHOT_cpx_m_t1.1@0                                |                                 SHOT_cpx_s.1@0                                 |                               SHOT_cpx_s_ecp.1@0                               |                             SHOT_cpx_s_nomiqp.1@0                              |                               SHOT_cpx_s_t1.1@0                                |                                 SHOT_grb_m.1@0                                 |                               SHOT_grb_m_t1.1@0                                |                                 SHOT_grb_s.1@0                                 |                             SHOT_grb_s_nomiqp.1@0                              |                               SHOT_grb_s_t1.1@0                                |
name                    #Vars #Disc  #Equs Dir    Dual bound  Primal bound I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%]   Time     Nodes I|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
alan                        9     4      8 min  2.925000e+00  2.925000e+00  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.06         0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.05         0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.04         0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.08         0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.04         0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.04         2  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.04         0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.04         0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.12         0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.04         0  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.07         1  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.05         1  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.06         0  |normal      2.925002e+00   -0.00  2.925002e+00    0.00   0.00   0.08         3  |normal      2.925000e+00    0.00  2.925000e+00    0.00   0.00   0.05         0  |
ball_mk2_10                11    10      2 min  0.000000e+00  0.000000e+00  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00  44.12    311659  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00  16.07     78759  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00  15.94     78759  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00  47.55    365370  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00  48.66    360076  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00  65.31    360929  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   0.87      1525  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   0.76      1529  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   0.92      1525  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00   0.95      1529  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00  83.78    337833  |normal      0.000000e+00    0.00  0.000000e+00    0.00   0.00 171.54    331161  |normal      1.110223e-15    0.00  0.000000e+00    0.00   0.00   0.54      1994  |normal      1.110223e-15    0.00  0.000000e+00    0.00   0.00   0.63      1994  |normal      5.551115e-17    0.00  0.000000e+00    0.00   0.00   0.83       959  |
ball_mk2_30                31    30      2 min  0.000000e+00  0.000000e+00  |timelim    -2.700000e+01     inf  0.000000e+00    0.00    inf 900.03   1940433  |timelim    -2.700000e+01     inf  0.000000e+00    0.00    inf 900.02    663688  |timelim    -2.700000e+01     inf  0.000000e+00    0.00    inf 900.03    660300  |timelim    -2.700000e+01     inf           inf     inf    inf 900.02   2478870  |timelim    -2.700000e+01     inf  0.000000e+00    0.00    inf 900.02   2497220  |timelim    -2.700000e+01     inf  0.000000e+00    0.00    inf 900.01   1503732  |--                    --     inf            --     inf     --     --        -- !|--                    --     inf            --     inf     --     --        -- !|timelim    -2.600000e+01     inf           inf     inf    inf 938.33     83487  |timelim    -2.600000e+01     inf           inf     inf    inf 900.01    123966  |timelim    -2.700000e+01     inf           inf     inf    inf 900.02    112130  |timelim    -2.700000e+01     inf           inf     inf    inf 900.01    129591  |timelim    -2.600000e+01     inf           inf     inf    inf 902.40     80647  |timelim    -2.600000e+01     inf           inf     inf    inf 903.61     80769  |timelim    -2.700000e+01     inf           inf     inf    inf 900.04     24587  |
ball_mk3_10                11    10      2 min           inf           inf  |--                    --     inf            --    0.00     --     --        -- !|--                    --     inf            --    0.00     --     --        -- !|--                    --     inf            --    0.00     --     --        -- !|--                    --     inf            --    0.00     --     --        -- !|--                    --     inf            --    0.00     --     --        -- !|--                    --     inf            --    0.00     --     --        -- !|normal               inf    0.00           inf    0.00   0.00   1.57      5796  |normal               inf    0.00           inf    0.00   0.00   1.60      6582  |normal               inf    0.00           inf    0.00   0.00   1.56      5796  |normal               inf    0.00           inf    0.00   0.00   2.73      5983  |--                    --     inf            --    0.00     --     --        -- !|--                    --     inf            --    0.00     --     --        -- !|normal               inf    0.00           inf    0.00   0.00   1.05      7687  |normal               inf    0.00           inf    0.00   0.00   1.89      7687  |normal               inf    0.00           inf    0.00   0.00   1.73      4212  |
ball_mk3_20                21    20      2 min           inf           inf  |timelim    -1.800000e+01     inf           inf    0.00    inf 900.01   2264522  |timelim    -1.900000e+01     inf           inf    0.00    inf 900.01    895456  |timelim    -1.900000e+01     inf           inf    0.00    inf 900.03    899269  |timelim    -1.800000e+01     inf           inf    0.00    inf 900.01   2578155  |timelim    -1.800000e+01     inf           inf    0.00    inf 900.03   2559271  |timelim    -1.900000e+01     inf           inf    0.00    inf 900.01   1735196  |timelim    -1.914474e+01     inf           inf    0.00    inf 900.03    323103  |timelim    -1.977305e+01     inf           inf    0.00    inf 900.03    314176  |timelim    -1.913206e+01     inf           inf    0.00    inf 900.03    325596  |timelim    -1.955890e+01     inf           inf    0.00    inf 900.01    262427  |timelim    -1.900000e+01     inf           inf    0.00    inf 900.01   1985759  |timelim    -1.900000e+01     inf           inf    0.00    inf 900.01   1374448  |timelim    -1.800000e+01     inf           inf    0.00    inf 900.10    286845  |timelim    -1.800000e+01     inf           inf    0.00    inf 900.09    286003  |timelim    -1.900000e+01     inf           inf    0.00    inf 900.02    134717  |
ball_mk3_30                31    30      2 min           inf           inf  |timelim    -3.100000e+01     inf           inf    0.00    inf 900.01   5087549  |timelim    -3.100000e+01     inf           inf    0.00    inf 900.02   1746839  |timelim    -3.100000e+01     inf           inf    0.00    inf 900.01   1823725  |timelim    -3.100000e+01     inf           inf    0.00    inf 900.03   5910351  |timelim    -3.100000e+01     inf           inf    0.00    inf 900.02   5901392  |timelim    -3.100000e+01     inf           inf    0.00    inf 900.01   1961073  |timelim    -3.384051e+01     inf           inf    0.00    inf 900.02    299662  |timelim    -3.476768e+01     inf           inf    0.00    inf 900.02    285282  |timelim    -3.383830e+01     inf           inf    0.00    inf 900.03    300454  |timelim    -3.429347e+01     inf           inf    0.00    inf 900.01    254146  |timelim    -3.100000e+01     inf           inf    0.00    inf 900.01   2595875  |timelim    -3.100000e+01     inf           inf    0.00    inf 900.01    875551  |timelim    -3.200000e+01     inf           inf    0.00    inf 900.40    409000  |timelim    -3.200000e+01     inf           inf    0.00    inf 900.25    411248  |timelim    -3.300000e+01     inf           inf    0.00    inf 900.01    162066  |
ball_mk4_05                11    10      2 min           inf           inf  |--                    --     inf            --    0.00     --     --        -- !|--                    --     inf            --    0.00     --     --        -- !|--                    --     inf            --    0.00     --     --        -- !|--                    --     inf            --    0.00     --     --        -- !|--                    --     inf            --    0.00     --     --        -- !|--                    --     inf            --    0.00     --     --        -- !|normal               inf    0.00           inf    0.00   0.00   0.71      1503  |normal               inf    0.00           inf    0.00   0.00   0.64      1478  |normal               inf    0.00           inf    0.00   0.00   0.75      1503  |normal               inf    0.00           inf    0.00   0.00   1.01      1526  |--                    --     inf            --    0.00     --     --        -- !|--                    --     inf            --    0.00     --     --        -- !|normal               inf    0.00           inf    0.00   0.00   0.67      2481  |normal               inf    0.00           inf    0.00   0.00   0.66      2481  |normal               inf    0.00           inf    0.00   0.00   0.94      1487  |
ball_mk4_10                21    20      2 min           inf           inf  |timelim     3.200000e+01     inf           inf    0.00    inf 900.01   3950718  |timelim     3.400000e+01     inf           inf    0.00    inf 900.02   1634834  |timelim     3.400000e+01     inf           inf    0.00    inf 900.03   1611349  |timelim     3.100000e+01     inf           inf    0.00    inf 900.01   4691641  |timelim     3.100000e+01     inf           inf    0.00    inf 900.02   4669889  |timelim     2.900000e+01     inf           inf    0.00    inf 900.01   2379724  |timelim     4.800000e+01     inf           inf    0.00    inf 900.06     81248  |timelim     4.900000e+01     inf           inf    0.00    inf 900.09     83584  |timelim     4.800000e+01     inf           inf    0.00    inf 900.11     81292  |timelim     4.800000e+01     inf           inf    0.00    inf 900.01     96872  |timelim     3.000000e+01     inf           inf    0.00    inf 900.01   4572596  |timelim     2.800000e+01     inf           inf    0.00    inf 900.01   2761472  |timelim     4.400000e+01     inf           inf    0.00    inf 901.14    122594  |timelim     4.400000e+01     inf           inf    0.00    inf 900.49    122015  |timelim     3.200000e+01     inf           inf    0.00    inf 900.01     55154  |
