                         Direction  NumberOfDiscreteVariables  NumberOfEquations  NumberOfNonZeros  NumberOfNonlinearNonZeros  NumberOfVariables  KnownPrimalBound  KnownDualBound   Fail FailReason
batchdes                       1.0                        9.0               20.0              53.0                       10.0               20.0      1.674277e+05    1.674277e+05  False           
batchs101006m                  1.0                      129.0             1020.0            2866.0                       49.0              279.0      7.694404e+05    7.694404e+05  False           
batchs151208m                  1.0                      203.0             1782.0            5069.0                       62.0              446.0      1.543472e+06    1.543472e+06  False           
batchs201210m                  1.0                      251.0             2328.0            6664.0                       67.0              559.0      2.295349e+06    2.295349e+06  False           
clay0203h                      1.0                       18.0              133.0             367.0                       72.0               91.0      4.157330e+04    4.157330e+04  False           
clay0204h                      1.0                       32.0              235.0             653.0                       96.0              165.0      6.545000e+03    6.545000e+03  False           
clay0205h                      1.0                       50.0              366.0            1021.0                      120.0              261.0      8.092500e+03    8.092500e+03  False           
clay0303h                      1.0                       21.0              151.0             424.0                      108.0              100.0      2.666913e+04    2.666913e+04  False           
clay0304h                      1.0                       36.0              259.0             729.0                      144.0              177.0      4.026242e+04    4.026242e+04  False           
clay0305h                      1.0                       55.0              396.0            1116.0                      180.0              276.0      8.092500e+03    8.092500e+03  False           
cvxnonsep_normcon20r           1.0                       10.0               22.0              81.0                       20.0               41.0     -2.174915e+01   -2.174915e+01  False           
cvxnonsep_normcon30r           1.0                       15.0               32.0             121.0                       30.0               61.0     -3.424397e+01   -3.424397e+01  False           
cvxnonsep_normcon40r           1.0                       20.0               42.0             161.0                       40.0               81.0     -3.262967e+01   -3.262967e+01  False           
cvxnonsep_nsig20r              1.0                       10.0               22.0              81.0                       20.0               41.0      8.094930e+01    8.094930e+01  False           
cvxnonsep_nsig30r              1.0                       15.0               32.0             121.0                       30.0               61.0      1.564267e+02    1.564267e+02  False           
cvxnonsep_nsig40r              1.0                       20.0               42.0             161.0                       40.0               81.0      1.339613e+02    1.339613e+02  False           
cvxnonsep_pcon20r              1.0                       10.0               21.0              97.0                       38.0               40.0     -2.151230e+01   -2.151230e+01  False           
cvxnonsep_pcon30r              1.0                       15.0               31.0             147.0                       58.0               60.0     -3.598684e+01   -3.598684e+01  False           
cvxnonsep_pcon40r              1.0                       20.0               41.0             197.0                       78.0               80.0     -4.659917e+01   -4.659917e+01  False           
cvxnonsep_psig20r              1.0                       10.0               23.0              85.0                       21.0               43.0      9.589739e+01    9.589739e+01  False           
cvxnonsep_psig30r              1.0                       15.0               33.0             125.0                       31.0               63.0      7.899885e+01    7.899885e+01  False           
cvxnonsep_psig40r              1.0                       20.0               43.0             165.0                       41.0               83.0      8.654510e+01    8.654510e+01  False           
